epoch,episode,turn,move,reward,winner
1,1912,"(0, 0, 255)",9-14,0.0,None
1,1912,"(255, 0, 0)",22-17,0.0,None
1,1912,"(0, 0, 255)",14-18,-51.0,None
1,1912,"(255, 0, 0)",23x14,30.0,None
1,1912,"(0, 0, 255)",10-15,0.0,None
1,1912,"(255, 0, 0)",27-23,0.0,None
1,1912,"(0, 0, 255)",5-9,-72.0,None
1,1912,"(255, 0, 0)",14x5,60.0,None
1,1912,"(0, 0, 255)",6-10,0.0,None
1,1912,"(255, 0, 0)",23-18,-23.0,None
1,1912,"(0, 0, 255)",15x22,-21.0,None
1,1912,"(255, 0, 0)",25x18,30.0,None
1,1912,"(0, 0, 255)",12-16,0.0,None
1,1912,"(255, 0, 0)",26-22,0.0,None
1,1912,"(0, 0, 255)",1-6,-28.0,None
1,1912,"(255, 0, 0)",24-20,0.0,None
1,1912,"(0, 0, 255)",10-14,-151.0,None
1,1912,"(255, 0, 0)",17x10x1,130.0,None
1,1912,"(0, 0, 255)",8-12,0.0,None
1,1912,"(255, 0, 0)",31-26,0.0,None
1,1912,"(0, 0, 255)",2-6,-23.0,None
1,1912,"(255, 0, 0)",1x10,-14.0,None
1,1912,"(0, 0, 255)",7x14x23,37.0,None
1,1912,"(255, 0, 0)",26x19,-21.0,None
1,1912,"(0, 0, 255)",16x23,2.0,None
1,1912,"(255, 0, 0)",30-26,-100.0,None
1,1912,"(0, 0, 255)",23x30,72.0,None
1,1912,"(255, 0, 0)",22-17,0.0,None
1,1912,"(0, 0, 255)",30-26,-28.0,None
1,1912,"(255, 0, 0)",5-1,40.0,None
1,1912,"(0, 0, 255)",11-16,-51.0,None
1,1912,"(255, 0, 0)",20x11,30.0,None
1,1912,"(0, 0, 255)",4-8,-100.0,None
1,1912,"(255, 0, 0)",11x4,100.0,None
1,1912,"(0, 0, 255)",26-30,0.0,None
1,1912,"(255, 0, 0)",4-8,0.0,None
1,1912,"(0, 0, 255)",30-26,0.0,None
1,1912,"(255, 0, 0)",32-27,0.0,None
1,1912,"(0, 0, 255)",26-31,-21.0,None
1,1912,"(255, 0, 0)",17-13,-23.0,None
1,1912,"(0, 0, 255)",31x24,-21.0,None
1,1912,"(255, 0, 0)",28x19,30.0,None
1,1912,"(0, 0, 255)",3-7,0.0,None
1,1912,"(255, 0, 0)",1-6,28.0,None
1,1912,"(0, 0, 255)",12-16,-72.0,None
1,1912,"(255, 0, 0)",19x12,88.0,None
1,1912,"(0, 0, 255)",7-11,-401.0,"(255, 0, 0)"
1,1912,"(255, 0, 0)",8x15,530.0,"(255, 0, 0)"
