epoch,episode,turn,move,log_prob,reward,winner
1,1993,"(0, 0, 255)",9-13,-1.9459101490553135,0.0,None
1,1993,"(255, 0, 0)",23-19,-1.9459101490553135,0.0,None
1,1993,"(0, 0, 255)",11-16,-2.0794415416798357,-21.0,None
1,1993,"(255, 0, 0)",21-17,-1.9459101490553135,5.0,None
1,1993,"(0, 0, 255)",16x23,0.0,-51.0,None
1,1993,"(255, 0, 0)",26x19,-0.6931471805599453,30.0,None
1,1993,"(0, 0, 255)",10-14,-1.9459101490553135,5.0,None
1,1993,"(255, 0, 0)",17x10,0.0,-51.0,None
1,1993,"(0, 0, 255)",6x15,-0.6931471805599453,7.0,None
1,1993,"(255, 0, 0)",19x10,0.0,-21.0,None
1,1993,"(0, 0, 255)",7x14,0.0,30.0,None
1,1993,"(255, 0, 0)",22-17,-2.0794415416798357,-102.0,None
1,1993,"(0, 0, 255)",14x21,-0.6931471805599453,60.0,None
1,1993,"(255, 0, 0)",31-26,-1.791759469228055,0.0,None
1,1993,"(0, 0, 255)",1-6,-2.0794415416798357,0.0,None
1,1993,"(255, 0, 0)",27-23,-1.791759469228055,0.0,None
1,1993,"(0, 0, 255)",6-10,-2.0794415416798357,0.0,None
1,1993,"(255, 0, 0)",25-22,-1.9459101490553135,0.0,None
1,1993,"(0, 0, 255)",5-9,-2.3025850929940455,0.0,None
1,1993,"(255, 0, 0)",22-17,-2.1972245773362196,-100.0,None
1,1993,"(0, 0, 255)",13x22x31,0.0,100.0,None
1,1993,"(255, 0, 0)",30-26,-2.0794415416798357,-51.0,None
1,1993,"(0, 0, 255)",31x22,0.0,30.0,None
1,1993,"(255, 0, 0)",24-20,-1.791759469228055,0.0,None
1,1993,"(0, 0, 255)",22-26,-2.639057329615259,-21.0,None
1,1993,"(255, 0, 0)",28-24,-1.791759469228055,-72.0,None
1,1993,"(0, 0, 255)",26x19x28,0.0,60.0,None
1,1993,"(255, 0, 0)",20-16,-1.0986122886681098,-51.0,None
1,1993,"(0, 0, 255)",12x19,0.0,30.0,None
1,1993,"(255, 0, 0)",32-27,-0.6931471805599453,0.0,None
1,1993,"(0, 0, 255)",10-15,-2.639057329615259,0.0,None
1,1993,"(255, 0, 0)",27-24,-1.0986122886681098,0.0,None
1,1993,"(0, 0, 255)",3-7,-2.3978952727983707,0.0,None
1,1993,"(255, 0, 0)",29-25,-0.6931471805599453,-79.0,None
1,1993,"(0, 0, 255)",21x30,0.0,70.0,None
1,1993,"(255, 0, 0)",24-20,0.0,0.0,None
1,1993,"(0, 0, 255)",28-32,-2.639057329615259,0.0,None
1,1993,"(255, 0, 0)",20-16,0.0,0.0,None
1,1993,"(0, 0, 255)",7-10,-2.639057329615259,0.0,None
1,1993,"(255, 0, 0)",16-12,-0.6931471805599453,-21.0,None
1,1993,"(0, 0, 255)",15-18,-2.5649493574615367,-79.0,None
1,1993,"(255, 0, 0)",12x3,0.0,70.0,None
1,1993,"(0, 0, 255)",10-15,-2.70805020110221,28.0,None
1,1993,"(255, 0, 0)",3-8,-0.6931471805599453,-401.0,"(0, 0, 255)"
1,1993,"(0, 0, 255)",4x11,0.0,530.0,"(0, 0, 255)"
