epoch,average_epoch_reward,average_episode_length,win_rate_blue,win_rate_red,tie_rate,max_move_reward
1,-189.2228,58.1734,0.3214,0.3288,0.3498,278.0
2,-190.7374,58.38,0.309,0.3284,0.3626,246.0
3,-187.565,58.2538,0.3132,0.3258,0.361,220.0
4,-191.8692,58.571,0.2946,0.3386,0.3668,190.0
5,-191.5568,58.156,0.3162,0.3142,0.3696,220.0
6,-194.1444,58.763,0.3208,0.3148,0.3644,218.0
7,-187.0036,58.2554,0.3162,0.321,0.3628,218.0
8,-189.7982,58.13,0.3054,0.335,0.3596,218.0
9,-193.7918,59.06,0.3154,0.321,0.3636,218.0
10,-192.4518,58.4796,0.3076,0.331,0.3614,220.0
11,-190.7476,58.3822,0.3122,0.326,0.3618,246.0
12,-195.6194,58.9632,0.3224,0.3136,0.364,220.0
13,-194.0098,59.0106,0.31,0.3304,0.3596,218.0
14,-195.795,58.5058,0.33,0.3138,0.3562,216.0
15,-189.7442,58.4096,0.323,0.3226,0.3544,218.0
16,-198.3196,58.9696,0.3078,0.3126,0.3796,218.0
17,-195.027,58.871,0.3168,0.3194,0.3638,218.0
18,-196.042,58.8532,0.3154,0.3104,0.3742,220.0
19,-198.1112,58.7054,0.3136,0.3144,0.372,220.0
20,-196.044,58.731,0.3206,0.31,0.3694,220.0
21,-193.3594,58.3256,0.3348,0.313,0.3522,218.0
22,-195.9884,58.3826,0.302,0.336,0.362,220.0
23,-200.0382,58.8414,0.3252,0.3044,0.3704,218.0
24,-192.6864,58.2758,0.3228,0.3028,0.3744,246.0
25,-193.7428,58.3622,0.3266,0.2994,0.374,218.0
26,-192.8774,58.2142,0.3212,0.3128,0.366,216.0
27,-198.0904,58.5592,0.3232,0.3024,0.3744,220.0
28,-191.1056,58.2188,0.3272,0.313,0.3598,220.0
29,-197.8138,58.6284,0.3176,0.3192,0.3632,220.0
30,-193.8208,58.334,0.3264,0.3106,0.363,220.0
31,-198.554,58.1394,0.3282,0.3018,0.37,220.0
32,-196.1264,58.1266,0.3322,0.3048,0.363,246.0
33,-198.9964,58.0258,0.325,0.3068,0.3682,220.0
34,-196.1876,58.1962,0.3374,0.2942,0.3684,218.0
35,-199.329,58.5102,0.3336,0.2972,0.3692,220.0
36,-193.7952,58.3706,0.3456,0.2912,0.3632,218.0
37,-203.3566,58.9504,0.3336,0.2978,0.3686,218.0
