game_number,epoch,episode,blue_win,red_win,reward,time,moves
1,1,1,1,0,52.0,2024-11-24 22:42:12,"11-15, 21-17, 15-18, 22x15, 10x19, 23x16, 12x19, 24x15, 8-11, 15x8, 3x12, 25-22, 4-8, 17-14, 9x18x25, 30x21, 7-11, 29-25, 6-10, 28-24, 12-16, 25-22, 16-19, 24x15x6, 2x9, 27-24, 8-12, 26-23, 11-16, 32-27, 16-20, 24-19, 9-14, 23-18, 14x23x32, 31-27, 32x23x16, 21-17, 16-11, 22-18, 11-8, 17-13, 20-24, 13-9, 5x14x23"
2,1,2,0,0,-466.0,2024-11-24 22:42:12,"11-15, 24-19, 15x24, 28x19, 10-15, 19x10, 7x14, 32-28, 6-10, 22-18, 3-7, 27-24, 8-11, 26-22, 1-6, 18-15, 10x19x26, 30x23, 6-10, 31-27, 14-17, 22x13x6, 2x9, 23-19, 11-15, 21-17, 4-8, 25-22, 7-11, 22-18, 15x22, 19-16, 12x19, 24x15x6, 9-14, 17x10, 5-9, 27-24, 11-16, 29-25, 22x29, 24-20, 16-19, 28-24, 19x28, 6-1, 9-14, 20-16, 28-32, 1-5, 8-12, 5-9, 12x19, 9x18, 32-27, 10-7, 27-32, 18-23, 19x26, 7-2, 32-27, 2-6, 26-30, 6-9, 27-23, 9-14, 23-27, 14-18, 27-31, 18-14, 30-25, 14-17, 25-30, 17-13, 29-25, 13-9, 31-27"
3,1,3,1,0,-30.0,2024-11-24 22:42:12,"12-16, 24-19, 16-20, 28-24, 10-15, 19x10, 6x15, 23-18, 15-19, 24x15, 7-10, 15x6, 1x10, 18-14, 9x18, 22x15x6, 2x9, 26-23, 20-24, 27x20, 11-16, 20x11, 8x15, 23-19, 15x24, 31-26, 3-8, 26-23, 9-14, 32-27, 24x31, 21-17, 14x21, 25-22, 8-12, 30-25, 21x30, 22-17, 30-25, 29x22, 5-9, 23-19, 9-13, 22-18, 13x22, 19-16, 12x19, 18-14, 31-27, 14-10, 19-23, 10-7, 22-26, 7-2, 27-32, 2-6, 26-30, 6-10, 32-27, 10-14, 27-31, 14-17, 30-26, 17-21, 4-8, 21-25, 26-30, 25-29, 23-26, 29-25, 30x21"
4,1,4,0,0,-423.0,2024-11-24 22:42:12,"10-14, 22-17, 12-16, 17x10, 7x14, 24-19, 6-10, 19x12, 11-15, 28-24, 3-7, 12x3, 4-8, 3x12, 9-13, 12-16, 1-6, 16-20, 6-9, 21-17, 13x22, 26x17, 14x21, 24-19, 15x24, 23-19, 9-14, 30-26, 21x30x23x16, 20x11, 7x16, 27x20x11, 5-9, 11-7, 2x11, 31-26, 9-13, 29-25, 14-17, 25-21, 17-22, 26x17, 13x22, 32-27, 10-15, 27-23, 15-18, 23x14, 22-25, 21-17, 11-15, 17-13, 15-18, 14-9, 18-22, 9-5, 25-29, 13-9, 22-26, 5-1, 26-31, 1-6, 29-25, 6-1, 25-21, 9-6, 31-26, 1-5, 21-25, 5-9, 26-23, 9-13, 23-19, 6-1, 19-24, 13-17, 25-29, 17-13, 24-19"
5,1,5,0,0,-164.0,2024-11-24 22:42:13,"12-16, 23-19, 16x23, 27x18, 11-15, 18x11, 8x15, 24-20, 9-14, 21-17, 14x21, 26-23, 4-8, 31-26, 15-19, 23x16, 6-9, 26-23, 9-14, 23-18, 14x23, 30-26, 23x30, 22-18, 10-14, 18x9, 5x14, 25-22, 8-11, 28-24, 30-26, 32-28, 26x17, 24-19, 3-8, 16-12, 2-6, 12x3x10, 6x15x24, 28x19, 11-16, 20x11, 17-13, 29-25, 21x30, 19-16, 1-5, 11-7, 14-17, 7-3, 30-25, 16-11, 17-22, 11-8, 25-29, 3-7, 13-9, 8-4, 22-26, 7-3, 26-31, 4-8, 9-6, 8-4, 31-26"
6,1,6,0,0,-419.0,2024-11-24 22:42:13,"9-13, 22-17, 13x22, 26x17, 11-16, 17-13, 6-9, 13x6, 2x9, 21-17, 16-19, 23x16, 12x19, 24x15x6, 1x10, 27-24, 7-11, 17-13, 3-7, 13x6, 8-12, 6-1, 11-16, 25-21, 10-15, 32-27, 16-19, 1-6, 5-9, 6x13, 7-10, 24-20, 10-14, 13-17, 12-16, 20x11, 15-18, 17x10, 19-23, 30-26, 23x32, 28-24, 32-28, 31-27, 28x19, 27-23, 18x27, 10-15, 19x10, 11-7, 10x3, 21-17, 3-7, 17-14, 7-10, 14x7, 4-8, 7-2, 27-32, 29-25, 32-27, 2-6, 8-12, 25-21, 27-31, 26-22, 31-26, 6-2, 26x17, 21x14, 12-16, 14-9, 16-20, 2-7, 20-24, 9-5, 24-27, 5-1, 27-32, 7-3, 32-27, 3-7"
7,1,7,0,1,-66.0,2024-11-24 22:42:13,"10-14, 24-19, 12-16, 19x12, 6-10, 28-24, 14-18, 23x14, 10x17, 22x13x6, 2x9, 21-17, 9-13, 17-14, 7-10, 14x7, 3x10, 12x3, 13-17, 32-28, 1-6, 25-22, 6-9, 22x13x6, 11-15, 24-20, 15-18, 6-2, 4-8, 3x12, 18-22, 26x17, 5-9, 12-8, 10-15, 20-16, 15-18, 8-12, 9-14, 17x10, 18-22, 12-8, 22-26, 31x22"
8,1,8,1,0,19.0,2024-11-24 22:42:13,"12-16, 23-18, 9-13, 27-23, 10-15, 18-14, 6-9, 22-18, 15x22, 25x18, 13-17, 14-10, 7x14, 24-20, 8-12, 23-19, 14x23, 21x14, 9x18, 26-22, 18x25, 30x21, 3-8, 32-27, 23x32, 31-26, 16x23x30, 28-24, 11-16, 20x11, 8x15, 24-20, 30-25, 29x22, 12-16, 20x11, 15-18, 22x15, 2-6, 21-17, 32-27, 17-13, 27-24, 11-8, 4x11x18, 13-9, 5x14"
9,1,9,1,0,46.0,2024-11-24 22:42:14,"12-16, 21-17, 9-13, 22-18, 13x22, 26x17, 6-9, 23-19, 16x23, 18-14, 9x18, 24-20, 11-15, 25-21, 15-19, 28-24, 19x28, 30-25, 8-11, 20-16, 11x20, 31-26, 23x30, 27-24, 20x27, 32x23x14, 1-6, 25-22, 28-32, 22-18, 10-15, 18x11, 7x16, 17-13, 6-9, 13x6, 2x9x18, 29-25, 32-27, 25-22, 18x25, 21-17, 30-26, 17-13, 25-30, 13-9, 5x14"
10,1,10,0,0,-307.0,2024-11-24 22:42:14,"9-14, 23-18, 14x23, 26x19, 10-15, 19x10, 7x14, 22-18, 14x23, 27x18, 11-16, 25-22, 6-10, 30-25, 8-11, 31-26, 16-19, 24x15x6, 2x9, 28-24, 11-15, 18x11, 1-6, 24-20, 9-13, 32-28, 3-8, 22-17, 13x22x31, 11-7, 12-16, 20x11, 8x15, 7-2, 6-9, 21-17, 9-14, 17x10, 15-19, 10-7, 31-27, 25-21, 19-23, 7-3, 4-8, 3x12, 27-31, 29-25, 23-27, 2-7, 27-32, 7-11, 31-27, 11-7, 27-24, 28x19, 5-9, 7-11, 32-28, 11-7, 9-14, 25-22, 28-24, 22-18, 24x15x22, 21-17, 22x13, 12-8, 14-17, 8-12, 17-22, 12-16, 22-26, 7-10, 13-17, 16-20, 26-30, 10-6, 17-13, 20-24, 30-25, 24-28, 25-22, 28-32, 22-17, 32-28, 17-22"
