game_number,epoch,episode,blue_win,red_win,reward,time,moves,log_probs
1,1,1,1,0,-213.0,2024-11-25 23:09:48,"9-13, 23-18, 13-17, 22x13, 10-15, 27-23, 15x22, 26x17, 11-15, 23-18, 15x22, 25x18, 7-10, 30-25, 6-9, 13x6, 2x9, 32-27, 10-15, 18x11, 8x15, 17-14, 9x18, 24-20, 3-8, 27-23, 18x27, 31x24, 8-11, 24-19, 15x24, 28x19, 5-9, 19-16, 12x19, 25-22, 1-5, 22-18, 9-14, 18x9, 5x14, 20-16, 11x20, 29-25, 4-8, 25-22, 8-12, 22-18, 14x23, 21-17, 23-26, 17-13, 19-23, 13-9, 20-24, 9-5, 24-28, 5-1, 26-31, 1-6, 28-32, 6-2, 31-27, 2-6, 12-16, 6-2, 32-28, 2-6, 23-26, 6-1, 27-24, 1-6, 16-19, 6-2, 28-32, 2-7, 26-30, 7-10, 32-27, 10-14, 30-25, 14-17, 24-20, 17-13, 27-31, 13-17, 25-22, 17x26, 31x22","-1.9459101490553135, -1.9459101490553135, -2.0794415416798357, -0.6931471805599453, -1.9459101490553135, -2.1972245773362196, 0.0, -0.6931471805599453, -1.9459101490553135, -2.3978952727983707, 0.0, 0.0, -1.9459101490553135, -2.4849066497880004, -2.0794415416798357, 0.0, 0.0, -2.3025850929940455, -2.0794415416798357, 0.0, 0.0, -1.9459101490553135, 0.0, -1.791759469228055, -2.1972245773362196, -1.9459101490553135, 0.0, 0.0, -1.791759469228055, -1.3862943611198906, 0.0, 0.0, -1.791759469228055, -1.6094379124341003, 0.0, -1.0986122886681098, -2.1972245773362196, -1.6094379124341003, -1.9459101490553135, 0.0, 0.0, -1.0986122886681098, 0.0, -0.6931471805599453, -1.791759469228055, -0.6931471805599453, -1.9459101490553135, -1.0986122886681098, 0.0, 0.0, -1.6094379124341003, -0.6931471805599453, -1.791759469228055, 0.0, -1.6094379124341003, -0.6931471805599453, -1.791759469228055, 0.0, -1.6094379124341003, -0.6931471805599453, -1.791759469228055, -1.3862943611198906, -1.9459101490553135, -0.6931471805599453, -1.6094379124341003, -1.3862943611198906, -1.791759469228055, -0.6931471805599453, -2.0794415416798357, -1.3862943611198906, -2.3025850929940455, -0.6931471805599453, -2.0794415416798357, -1.3862943611198906, -1.791759469228055, -0.6931471805599453, -2.0794415416798357, -1.3862943611198906, -2.0794415416798357, -1.3862943611198906, -2.0794415416798357, -1.3862943611198906, -2.3025850929940455, -1.3862943611198906, -2.4849066497880004, -0.6931471805599453, -2.3025850929940455, 0.0, 0.0"
2,1,2,0,0,-204.0,2024-11-25 23:09:48,"10-14, 21-17, 14x21, 23-18, 7-10, 24-20, 10-14, 18-15, 11x18, 22x15, 9-13, 20-16, 12x19, 26-22, 13-17, 22x13, 19-23, 27x18x9, 5x14, 25-22, 3-7, 31-26, 6-10, 15x6, 2x9, 13x6, 1x10, 28-24, 10-15, 32-28, 21-25, 30x21, 15-18, 22x15, 7-10, 15x6, 14-18, 26-23, 18x27, 29-25, 27-31, 6-1, 31-26, 21-17, 26-31, 1-6","-1.9459101490553135, -1.9459101490553135, 0.0, -1.791759469228055, -1.9459101490553135, -1.9459101490553135, -2.1972245773362196, -1.9459101490553135, 0.0, 0.0, -2.0794415416798357, -2.1972245773362196, 0.0, -2.0794415416798357, -2.4849066497880004, 0.0, -2.3978952727983707, 0.0, 0.0, -2.1972245773362196, -2.3025850929940455, -2.4849066497880004, -2.3025850929940455, 0.0, -0.6931471805599453, 0.0, 0.0, -1.9459101490553135, -1.9459101490553135, -2.1972245773362196, -2.1972245773362196, 0.0, -2.0794415416798357, 0.0, -1.791759469228055, 0.0, -1.3862943611198906, -2.0794415416798357, 0.0, -1.791759469228055, -1.3862943611198906, -1.791759469228055, -1.3862943611198906, -1.791759469228055, -1.791759469228055, -2.0794415416798357"
3,1,3,0,0,-251.0,2024-11-25 23:09:49,"9-14, 21-17, 14x21, 23-19, 5-9, 26-23, 1-5, 24-20, 9-13, 22-17, 13x22, 25x18, 11-15, 18x11, 8x15x24, 28x19, 7-11, 30-26, 6-9, 26-22, 3-8, 31-26, 9-14, 19-15, 11x18x25, 29x22, 2-6, 22-17, 10-15, 17x10x1, 15-19, 23x16, 12x19, 32-28, 5-9, 1-6, 19-24, 28x19, 9-14, 6-2, 14-17, 27-24, 8-11, 26-23, 11-15, 19x10, 21-25, 10-7, 4-8, 23-19, 8-11, 19-15, 11x18, 24-19, 25-30, 7-3, 18-22, 19-16, 22-25, 3-7, 25-29, 7-11, 30-25, 11-7, 17-22, 2-6, 25-21, 7-2, 22-26, 16-11, 26-30, 6-1, 30-26, 1-5, 21-25, 11-8, 26-22, 8-4, 22-26, 4-8","-1.9459101490553135, -1.9459101490553135, 0.0, -1.791759469228055, -1.9459101490553135, -1.9459101490553135, -2.0794415416798357, -2.0794415416798357, -1.9459101490553135, -2.3025850929940455, 0.0, 0.0, -2.0794415416798357, 0.0, -0.6931471805599453, 0.0, -2.1972245773362196, -2.3025850929940455, -2.4849066497880004, -2.0794415416798357, -2.5649493574615367, -2.3025850929940455, -2.3025850929940455, -2.1972245773362196, -0.6931471805599453, 0.0, -2.1972245773362196, -1.9459101490553135, -1.9459101490553135, 0.0, -1.791759469228055, 0.0, 0.0, -1.9459101490553135, -1.791759469228055, -2.0794415416798357, -1.9459101490553135, -0.6931471805599453, -1.6094379124341003, -2.3978952727983707, -1.6094379124341003, -2.1972245773362196, -1.3862943611198906, -1.9459101490553135, -1.6094379124341003, 0.0, -1.0986122886681098, -2.0794415416798357, -1.6094379124341003, -1.791759469228055, -1.791759469228055, -1.6094379124341003, 0.0, -1.3862943611198906, -1.791759469228055, -1.6094379124341003, -1.791759469228055, -1.9459101490553135, -1.6094379124341003, -1.791759469228055, -1.3862943611198906, -1.791759469228055, -1.6094379124341003, -1.791759469228055, -1.6094379124341003, -1.791759469228055, -1.0986122886681098, -2.3025850929940455, -1.6094379124341003, -1.791759469228055, -1.6094379124341003, -1.9459101490553135, -1.6094379124341003, -1.9459101490553135, -1.9459101490553135, -1.9459101490553135, -1.9459101490553135, -1.9459101490553135, -1.6094379124341003, -1.791759469228055"
4,1,4,0,0,-109.0,2024-11-25 23:09:49,"10-15, 24-20, 9-14, 28-24, 6-10, 23-19, 5-9, 19-16, 12x19x28, 22-17, 1-5, 17-13, 15-18, 13x6, 2x9, 26-22, 8-12, 22x15x8, 4x11, 30-26, 11-16, 20x11x2, 3-7, 2x11, 12-16, 11x20, 14-17, 21x14x7, 9-13, 27-23, 13-17, 7-2, 5-9, 23-19, 17-21, 31-27, 21x30x23x16, 20x11, 9-13, 27-23, 13-17, 11-15, 17-21, 15-10, 21-25, 29x22","-1.9459101490553135, -1.9459101490553135, -2.0794415416798357, -2.0794415416798357, -2.3025850929940455, -2.0794415416798357, -2.0794415416798357, -2.0794415416798357, 0.0, -1.9459101490553135, -2.1972245773362196, -1.9459101490553135, -1.9459101490553135, 0.0, 0.0, -1.9459101490553135, -1.9459101490553135, -0.6931471805599453, 0.0, -1.9459101490553135, -2.0794415416798357, 0.0, -1.9459101490553135, 0.0, -1.6094379124341003, 0.0, -1.3862943611198906, 0.0, -0.6931471805599453, -2.3025850929940455, -0.6931471805599453, -2.3978952727983707, -1.0986122886681098, -2.3978952727983707, -1.3862943611198906, -2.3978952727983707, 0.0, 0.0, -0.6931471805599453, -2.1972245773362196, 0.0, -2.3025850929940455, -0.6931471805599453, -2.3025850929940455, 0.0, 0.0, 1"
5,1,5,0,1,-20.0,2024-11-25 23:09:49,"10-14, 22-18, 6-10, 25-22, 11-15, 18x11, 8x15, 30-25, 14-17, 22x13x6, 2x9, 26-22, 1-6, 23-18, 4-8, 18x11x2, 8-11, 24-20, 9-13, 2x9, 5x14, 31-26, 13-17, 22x13, 12-16, 28-24, 10-15, 26-23, 14-17, 21x14, 15-18, 14-10, 16-19, 24x15x8, 3x12, 23x14, 12-16, 20x11","-1.9459101490553135, -1.9459101490553135, -1.9459101490553135, -1.9459101490553135, -2.0794415416798357, 0.0, -0.6931471805599453, -2.1972245773362196, -2.3978952727983707, -0.6931471805599453, 0.0, -1.9459101490553135, -2.3025850929940455, -2.0794415416798357, -2.0794415416798357, -0.6931471805599453, -1.9459101490553135, -2.0794415416798357, -2.1972245773362196, 0.0, 0.0, -2.0794415416798357, -2.1972245773362196, 0.0, -2.0794415416798357, -2.0794415416798357, -1.9459101490553135, -2.0794415416798357, -1.9459101490553135, 0.0, -1.6094379124341003, -2.0794415416798357, -1.6094379124341003, -1.0986122886681098, 0.0, 0.0, 0.0, 0.0"
6,1,6,0,0,-67.0,2024-11-25 23:09:49,"10-15, 23-19, 7-10, 27-23, 11-16, 31-27, 3-7, 24-20, 15x24x31, 20x11, 7x16, 28-24, 10-15, 22-18, 31x22, 18x11, 8x15, 25x18x11, 16-19, 24x15, 12-16, 15-10, 6x15, 21-17, 15-19, 29-25, 19x26, 30x23, 2-6, 32-27, 16-19, 23x16, 9-14, 17x10, 6x15, 25-22, 15-19, 16-12, 1-6, 12-8, 5-9, 22-17, 9-14, 17x10x1, 19-24, 27x20","-1.9459101490553135, -1.9459101490553135, -1.9459101490553135, -1.9459101490553135, -2.0794415416798357, -1.9459101490553135, -2.0794415416798357, -1.6094379124341003, 0.0, 0.0, -0.6931471805599453, -1.9459101490553135, -2.1972245773362196, -2.1972245773362196, -0.6931471805599453, 0.0, 0.0, 0.0, -1.9459101490553135, -0.6931471805599453, -1.791759469228055, -2.3978952727983707, 0.0, -2.3025850929940455, -2.3025850929940455, -2.3025850929940455, 0.0, 0.0, -2.0794415416798357, -2.3025850929940455, -1.791759469228055, 0.0, -1.3862943611198906, 0.0, 0.0, -1.9459101490553135, -1.6094379124341003, -1.9459101490553135, -1.6094379124341003, -1.9459101490553135, -1.6094379124341003, -1.791759469228055, -1.6094379124341003, 0.0, -0.6931471805599453, 0.0, 1"
7,1,7,1,0,-193.0,2024-11-25 23:09:49,"12-16, 24-19, 9-13, 19x12, 10-15, 22-18, 15x22, 26x17, 13x22, 25x18, 11-15, 18x11, 7x16, 21-17, 8-11, 30-25, 16-19, 23x16x7, 3x10, 17-14, 10x17, 25-21, 17-22, 12-8, 4x11, 31-26, 22x31x24, 28x19, 11-15, 19x10, 6x15, 29-25, 1-6, 32-27, 15-18, 21-17, 5-9, 17-14, 18-22, 14x5, 22x29, 27-24, 29-25, 24-19, 25-30, 19-15, 30-25, 15-10, 6x15, 5-1, 15-19, 1-6, 2x9","-1.9459101490553135, -1.9459101490553135, -1.9459101490553135, 0.0, -1.9459101490553135, -1.9459101490553135, 0.0, -0.6931471805599453, 0.0, 0.0, -1.791759469228055, 0.0, -0.6931471805599453, -2.1972245773362196, -2.0794415416798357, -2.3978952727983707, -2.3025850929940455, 0.0, -0.6931471805599453, -2.1972245773362196, 0.0, -1.9459101490553135, -1.791759469228055, -1.9459101490553135, 0.0, -1.791759469228055, 0.0, 0.0, -1.791759469228055, 0.0, 0.0, -1.3862943611198906, -1.791759469228055, -1.3862943611198906, -1.791759469228055, -1.3862943611198906, -1.791759469228055, -1.791759469228055, -1.6094379124341003, -0.6931471805599453, 0.0, -1.0986122886681098, -1.3862943611198906, -1.0986122886681098, -1.9459101490553135, -1.0986122886681098, -1.6094379124341003, -1.0986122886681098, 0.0, 0.0, -2.0794415416798357, -0.6931471805599453, 0.0"
8,1,8,0,1,-119.0,2024-11-25 23:09:50,"11-15, 22-18, 15x22, 26x17, 10-14, 17x10, 7x14, 23-18, 14x23, 27x18, 12-16, 18-14, 9x18, 21-17, 16-20, 24-19, 8-12, 25-21, 18-23, 19-16, 12x19, 29-25, 23-27, 31x24x15, 20-24, 28x19, 3-8, 15-10, 6x15x24, 25-22, 8-11, 32-28, 24-27, 30-25, 2-7, 17-14, 5-9, 14x5, 1-6, 5-1, 27-31, 1x10x3, 4-8, 3x12, 31-27, 28-24, 27x20, 21-17, 11-16, 12x19, 20-24, 19x28","-1.9459101490553135, -1.9459101490553135, 0.0, -0.6931471805599453, -1.9459101490553135, 0.0, -0.6931471805599453, -2.0794415416798357, 0.0, 0.0, -1.9459101490553135, -2.3025850929940455, 0.0, -2.0794415416798357, -2.3978952727983707, -2.1972245773362196, -2.3025850929940455, -2.3978952727983707, -2.3978952727983707, -2.3978952727983707, 0.0, -2.1972245773362196, -2.3978952727983707, -0.6931471805599453, -2.0794415416798357, 0.0, -1.9459101490553135, -2.1972245773362196, 0.0, -1.791759469228055, -2.0794415416798357, -1.9459101490553135, -2.0794415416798357, -1.791759469228055, -2.1972245773362196, -1.3862943611198906, -2.0794415416798357, 0.0, -1.9459101490553135, -1.6094379124341003, -2.0794415416798357, 0.0, -1.6094379124341003, 0.0, -1.3862943611198906, -1.791759469228055, 0.0, -1.6094379124341003, -1.3862943611198906, 0.0, -0.6931471805599453, 0.0"
9,1,9,0,0,-376.0,2024-11-25 23:09:50,"10-15, 23-18, 15-19, 24x15, 7-10, 27-23, 10x19, 23x16x7, 2x11, 18-15, 11x18, 22x15, 8-11, 15x8, 4x11, 26-23, 9-13, 30-26, 13-17, 21x14, 6-10, 14x7, 3x10, 23-19, 12-16, 19x12, 5-9, 12-8, 11-16, 28-24, 1-6, 26-23, 16-19, 24x15, 10x19x26, 31x22, 6-10, 25-21, 9-14, 21-17, 14x21, 32-28, 10-15, 28-24, 15-19, 24x15, 21-25, 15-10, 25-30, 22-18, 30-26, 29-25, 26-30, 25-22, 30-26, 22-17, 26-30, 8-4, 30-26, 10-7, 26-31, 7-3, 31-27, 17-14, 27-32, 3-8, 32-28, 8-3, 28-32","-1.9459101490553135, -1.9459101490553135, -1.9459101490553135, 0.0, -1.791759469228055, -1.9459101490553135, 0.0, 0.0, -0.6931471805599453, -2.0794415416798357, 0.0, 0.0, -1.791759469228055, 0.0, 0.0, -1.9459101490553135, -2.0794415416798357, -2.1972245773362196, -2.1972245773362196, 0.0, -2.0794415416798357, 0.0, 0.0, -2.0794415416798357, -1.9459101490553135, 0.0, -1.791759469228055, -2.0794415416798357, -2.0794415416798357, -2.1972245773362196, -2.0794415416798357, -2.3978952727983707, -1.791759469228055, -0.6931471805599453, 0.0, 0.0, -1.0986122886681098, -1.9459101490553135, -1.3862943611198906, -2.0794415416798357, 0.0, -1.9459101490553135, -1.0986122886681098, -1.791759469228055, -1.0986122886681098, 0.0, 0.0, -1.791759469228055, 0.0, -1.9459101490553135, -0.6931471805599453, -1.9459101490553135, -1.3862943611198906, -2.0794415416798357, -0.6931471805599453, -1.9459101490553135, -1.3862943611198906, -2.0794415416798357, -0.6931471805599453, -1.9459101490553135, -1.3862943611198906, -1.9459101490553135, -0.6931471805599453, -1.9459101490553135, -1.3862943611198906, -1.791759469228055, -0.6931471805599453, -1.791759469228055, -0.6931471805599453"
10,1,10,0,0,-130.0,2024-11-25 23:09:50,"12-16, 24-19, 9-13, 19x12, 11-15, 23-18, 7-11, 21-17, 5-9, 27-24, 1-5, 25-21, 3-7, 12x3, 15-19, 24x15x8, 4x11, 18-14, 9x18x25, 29x22, 10-14, 17x10x1, 11-16, 3x10, 2-6, 28-24, 6x15, 31-27, 13-17, 21x14, 16-19, 27-23, 19x28, 30-25, 5-9, 14x5, 15-19, 23x16","-1.9459101490553135, -1.9459101490553135, -1.9459101490553135, 0.0, -1.9459101490553135, -1.9459101490553135, -1.9459101490553135, -1.9459101490553135, -1.9459101490553135, -1.9459101490553135, -1.9459101490553135, -2.0794415416798357, -1.791759469228055, 0.0, -1.6094379124341003, 0.0, 0.0, -2.3025850929940455, 0.0, 0.0, -1.791759469228055, -0.6931471805599453, -1.791759469228055, 0.0, -1.791759469228055, -2.3978952727983707, 0.0, -2.3978952727983707, -1.791759469228055, -0.6931471805599453, -1.6094379124341003, -2.3025850929940455, 0.0, -2.1972245773362196, -1.0986122886681098, 0.0, -0.6931471805599453, 0.0, 1"
