epoch,average_epoch_reward,average_blue_reward,average_red_reward,average_episode_length,win_rate_blue,win_rate_red,tie_rate,max_move_reward
1,161.76771019282415,77.68589465234315,84.081815540481,68.21,0.4448,0.464,0.0912,62.35
2,160.8074707126056,79.89224554923841,80.91522516336721,68.5492,0.4388,0.452,0.1092,69.77087121525221
3,161.59649411346686,73.30163222047898,88.29486189298788,68.0232,0.4336,0.4748,0.0916,72.58377223398317
4,160.85190997455803,78.25756904764825,82.59434092690977,68.8844,0.45,0.4536,0.0964,65.65635083268963
5,161.48661940058756,69.8485535713506,91.63806582923695,68.296,0.4144,0.4884,0.0972,75.62613872124741
6,161.31312647445634,80.67045336631067,80.64267310814567,69.3424,0.4552,0.4448,0.1,70.0716117818585
7,161.853764400602,75.8916106848797,85.96215371572228,68.1724,0.4324,0.4692,0.0984,70.53205505282297
8,162.23870923881498,78.73507915144685,83.50363008736814,67.7492,0.4408,0.458,0.1012,70.35
9,160.4506510527361,82.31058862715915,78.14006242557696,68.9772,0.456,0.444,0.1,71.17613872124741
10,162.21921495354638,79.6805479337735,82.53866701977289,68.0264,0.4456,0.4552,0.0992,70.44586187348509
11,161.54321578213688,80.18959825561635,81.35361752652054,68.476,0.4492,0.452,0.0988,71.9208712152522
12,160.07567416933537,77.49367147228477,82.58200269705061,68.8612,0.4412,0.4608,0.098,69.49504902432037
13,159.98617452602164,79.18123161909375,80.80494290692788,69.2308,0.4448,0.4536,0.1016,66.71547921200883
14,161.95734523300234,80.88923315133964,81.06811208166272,68.308,0.4464,0.4504,0.1032,70.56547921200882
15,162.5125894650763,74.50054586715638,88.01204359791993,67.3944,0.4248,0.4736,0.1016,71.43786796564403
16,161.12866316846237,79.07825861740552,82.05040455105683,68.1536,0.4428,0.4572,0.1,66.01020842383436
17,160.70133840911163,78.62447963522251,82.07685877388911,67.5524,0.4436,0.446,0.1104,66.04019237886467
18,161.50584106470797,77.96161482495525,83.54422623975272,67.8392,0.4304,0.4652,0.1044,66.7438447187191
19,160.3754756996201,71.30335232527995,89.07212337434017,68.5888,0.4124,0.4868,0.1008,70.64504902432036
20,160.2415488827391,79.93686507046534,80.30468381227375,68.6896,0.4404,0.4632,0.0964,65.75
21,161.20195704488182,80.26845760582134,80.93349943906048,68.6496,0.44,0.4536,0.1064,71.13786796564403
22,160.5290328445554,78.18682828430052,82.34220456025486,68.5764,0.4348,0.4664,0.0988,66.01020842383437
23,160.93043909270176,74.870442207961,86.05999688474077,67.9264,0.4232,0.478,0.0988,66.67679491924311
24,160.31559013916984,70.95779633474645,89.35779380442341,68.0752,0.3972,0.4888,0.114,66.11291713066132
25,160.14575448376678,71.31776359142727,88.82799089233951,68.3076,0.4112,0.4804,0.1084,66.60635083268963
26,159.2420482589459,74.9508047301252,84.29124352882071,67.5352,0.4116,0.4676,0.1208,65.48205505282297
27,158.74351803056175,78.08933407432298,80.65418395623875,68.8612,0.4228,0.4576,0.1196,65.86547921200882
28,160.43432229196137,76.97503977422919,83.45928251773218,68.4668,0.4256,0.4664,0.108,64.83542486889353
29,158.6461834066186,75.2095546673748,83.4366287392438,68.3396,0.4152,0.4696,0.1152,66.1716117818585
30,159.15806303577364,77.31601795711421,81.84204507865941,68.9864,0.42,0.4672,0.1128,69.69504902432035
31,159.44565423434108,75.68716816191349,83.75848607242759,68.0084,0.4076,0.4828,0.1096,66.50635083268963
32,161.40977091858508,77.71441713282707,83.69535378575803,67.0784,0.414,0.4768,0.1092,65.9767949192431
33,159.35065393000284,77.81576495654053,81.5348889734623,67.7768,0.4132,0.4724,0.1144,66.16547921200882
34,158.96665422437025,71.30720133846687,87.65945288590338,67.7496,0.3856,0.492,0.1224,70.49019237886466
35,159.21452820405193,77.52992282405675,81.68460537999516,66.9864,0.4064,0.4784,0.1152,71.05
36,157.93772440544373,76.7503653890929,81.18735901635083,67.9564,0.4028,0.4712,0.126,65.65845240525775
37,156.92668043929348,80.09108467516404,76.83559576412945,67.9504,0.4088,0.4536,0.1376,66.17679491924311
38,158.2157982444088,78.97626121053274,79.23953703387606,66.8172,0.3964,0.4668,0.1368,70.98205505282297
39,158.0939222709265,85.75196395032799,72.34195832059851,66.9484,0.4224,0.4456,0.132,70.69504902432037
40,158.07757137325885,81.53754432807696,76.54002704518189,66.8072,0.4048,0.458,0.1372,71.65
41,158.5284856701215,79.77969599141177,78.74878967870973,68.23,0.394,0.458,0.148,65.6216117818585
