epoch,games,blue_wins,red_wins,ties,avg_moves,policy_loss,value_loss,total_loss,avg_grad_norm,policy_entropy_nats,avg_root_val_winner,avg_root_val_loser,buffer_size,num_workers,epoch_time_s
1,100,39,32,29,48.42,2.1621278088092803,0.47379334568977355,3.583507846355438,1.430308087706566,1.3621891736984253,-0.0518,-0.0503,4893,24,66.2
2,100,33,40,27,47.43,1.4924648411273955,0.42927743220329284,2.7802971367836,2.709132247567177,1.2911738157272339,0.5412,-0.5456,9678,24,67.5
3,100,30,38,32,51.75,1.4080931901931764,0.4333544400334358,2.7081565079689027,2.6101534806489943,1.2093415260314941,0.4137,-0.5565,14884,24,83.8
4,100,38,33,29,49.82,1.3641993169784545,0.40917981320619584,2.591738757610321,2.2294561603069307,1.1679219007492065,0.3428,-0.5892,19889,24,80.8
5,100,41,36,23,46.61,1.3432918446063995,0.40214822590351107,2.5497365221977235,2.191295736193657,1.1869158744812012,0.4489,-0.6829,24590,24,69.6
6,100,42,31,27,49.61,1.320359649658203,0.3791820955872536,2.4579059362411497,1.6665062164068223,1.1750354766845703,0.4398,-0.6554,29579,24,72.3
7,100,47,29,24,43.73,1.3040512721538544,0.3593015839457512,2.3819560260772703,1.5846813778877258,1.1629496812820435,0.5076,-0.6501,33980,24,67.0
8,100,42,32,26,46.37,1.2901703159809113,0.3581134704351425,2.3645107202529907,1.6568244670629502,1.1555836200714111,0.4489,-0.624,38638,24,63.0
9,100,38,30,32,49.89,1.2791398599147796,0.3784255772829056,2.41441659450531,1.5792084110975266,1.1461765766143799,0.4391,-0.5311,43667,24,70.6
10,100,39,30,31,50.5,1.271915127515793,0.36999001854658126,2.381885181903839,1.4695784587860108,1.1414068937301636,0.458,-0.5489,24590,24,78.0
11,100,36,39,25,46.82,1.306315898656845,0.365255608856678,2.4020827240943907,1.4778164277076722,1.1795462369918823,0.4859,-0.6803,29300,24,72.5
12,100,39,38,23,44.23,1.2903087108135223,0.36445802330970767,2.3836827774047853,1.3704203035235405,1.1535923480987549,0.48,-0.653,33753,24,66.7
13,100,33,47,20,46.4,1.2808531851768494,0.3470616956651211,2.322038272857666,1.3229631839394569,1.1500818729400635,0.5708,-0.7096,38424,24,67.3
14,100,39,35,26,41.94,1.2801344463825226,0.3756364349722862,2.4070437560081483,1.561599801659584,1.142026424407959,0.4999,-0.6359,42650,24,59.4
15,100,32,37,31,44.19,1.281385339975357,0.41153036069869997,2.515976420402527,1.9206140817403794,1.1441898345947266,0.445,-0.5998,47098,24,67.6
16,100,47,24,29,58.19,1.3615841102600097,0.46069585502147675,2.7436716837882997,2.5552024230957033,1.1444945335388184,0.5111,-0.6269,53026,24,219.8
