epoch,average_epoch_reward,average_episode_length,win_rate_blue,win_rate_red,tie_rate,max_move_reward
1,160.5283609334556,68.8464,0.434,0.476,0.09,70.67613872124741
2,160.61451569156557,67.7572,0.4524,0.4528,0.0948,62.758452405257735
3,160.97358765725053,67.8152,0.4424,0.4464,0.1112,65.9767949192431
4,160.31227037549448,68.9072,0.4644,0.4284,0.1072,69.48074175964327
5,161.48202850279213,67.7896,0.4372,0.4596,0.1032,70.304196010845
6,161.9092685635731,69.1988,0.452,0.454,0.094,70.66547921200882
7,160.02113709230952,69.9188,0.4416,0.4692,0.0892,65.91547921200882
8,160.56781218753676,68.304,0.4416,0.4572,0.1012,66.1
9,160.18532371966876,68.2964,0.432,0.4576,0.1104,65.86547921200882
10,160.9537843560099,67.8776,0.4392,0.4568,0.104,65.16547921200882
11,160.90608476742267,69.0648,0.4436,0.4568,0.0996,66.50635083268963
12,162.97096363505915,68.0452,0.4288,0.4752,0.096,66.5550510257217
13,160.48119189286902,69.1304,0.4536,0.4488,0.0976,70.03074175964328
14,161.77971352073638,69.8316,0.4528,0.4476,0.0996,65.51020842383436
15,161.6882441300795,68.5476,0.426,0.4724,0.1016,70.2716117818585
16,162.19326944369553,67.8224,0.4524,0.4508,0.0968,70.35
17,161.0300607338578,68.0816,0.4396,0.464,0.0964,66.4767949192431
18,159.0052907621576,69.1168,0.4516,0.438,0.1104,69.56088350084374
19,160.2911815214367,68.128,0.4452,0.4468,0.108,65.67639320225001
20,160.38734777247072,69.296,0.4664,0.4388,0.0948,65.25
21,160.71840652129777,67.874,0.4636,0.4292,0.1072,69.69177929985156
22,160.0430798448522,68.8088,0.4488,0.4376,0.1136,66.7697224362268
23,159.0659607364107,70.1348,0.446,0.4432,0.1108,66.47613872124741
24,158.22764514332465,69.9496,0.496,0.4016,0.1024,66.19019237886468
25,158.99314322496062,70.3428,0.45,0.4448,0.1052,66.36547921200882
26,158.1094820004603,69.7304,0.4452,0.4412,0.1136,65.68205505282296
27,157.33658235022364,70.5584,0.4568,0.4264,0.1168,65.29019237886467
28,159.18706273216483,69.1204,0.4416,0.4328,0.1256,65.73205505282297
29,155.76263145017683,70.406,0.4384,0.4168,0.1448,61.58786796564404
30,157.90015171479862,69.822,0.4532,0.4128,0.134,63.670871215252205
31,153.58092656715968,70.8156,0.4356,0.4208,0.1436,70.17613872124743
32,155.84319674816112,70.2412,0.474,0.3864,0.1396,66.00635083268963
33,156.2805533772383,69.7092,0.4592,0.3968,0.144,65.42613872124743
34,156.33998897761523,70.2108,0.4648,0.38,0.1552,71.31020842383437
35,156.80907631463302,69.222,0.4568,0.3904,0.1528,66.21291713066131
36,152.45064533082436,69.4824,0.4628,0.354,0.1832,65.78786796564403
37,153.5802366701953,70.2452,0.4568,0.3592,0.184,65.93205505282297
38,148.734615188204,66.6128,0.4488,0.3148,0.2364,67.00505102572168
39,147.53629204273992,66.0036,0.4592,0.292,0.2488,68.09177929985155
