epoch,average_epoch_reward,average_blue_reward,average_red_reward,average_episode_length,win_rate_blue,win_rate_red,tie_rate,max_move_reward,epoch_time_s
1,103.4733392771891,56.67904046790733,46.79429880928177,53.753,0.5198,0.4762,0.004,39.8,54.48
2,105.7013162659377,55.87961572878867,49.821700537149034,53.685,0.5142,0.4832,0.0026,39.8,55.63
3,104.66549509732904,60.24544517148376,44.42004992584528,53.5784,0.5314,0.4654,0.0032,39.8,56.56
4,104.93907500364952,60.060387390738995,44.878687612910525,54.3146,0.5284,0.467,0.0046,39.8,57.99
5,104.67118607660109,62.15571014459031,42.51547593201079,53.3122,0.5364,0.46,0.0036,39.8,57.81
6,103.68279684474618,59.90496488523691,43.77783195950927,54.4512,0.5296,0.466,0.0044,39.8,59.4
7,104.4305954180964,56.974172957335846,47.456422460760564,53.843,0.5188,0.4756,0.0056,39.8,59.35
8,105.21552693835173,59.25392604595635,45.96160089239539,53.2862,0.5276,0.4694,0.003,39.8,59.3
9,105.75615370838898,58.35441390564131,47.40173980274767,53.432,0.5212,0.4756,0.0032,39.8,59.98
10,93.13151248283759,54.3521710514226,38.779341431415,52.8372,0.5322,0.464,0.0038,39.8,117.29
11,92.47937185933802,54.59540243141266,37.88396942792535,54.31,0.533,0.463,0.004,39.8,118.6
12,92.28762156772581,54.39825243412023,37.88936913360558,54.1692,0.5302,0.4652,0.0046,39.8,116.48
13,95.45828463737541,53.555165967030405,41.903118670345,53.4126,0.5264,0.4692,0.0044,39.8,120.57
14,92.12848990401342,50.7008420543197,41.42764784969373,54.3924,0.5192,0.477,0.0038,39.8,122.59
15,92.84356028067182,51.43685145819226,41.406708822479565,53.5788,0.524,0.4714,0.0046,39.8,116.87
16,92.25645536156061,55.812067098337295,36.444388263223324,53.8298,0.5396,0.4572,0.0032,39.8,117.17
17,90.79160605455805,53.700657565973486,37.09094848858455,54.148,0.5328,0.4626,0.0046,39.8,119.09
18,92.89664074521401,53.73463656583568,39.16200417937833,54.9138,0.5318,0.464,0.0042,39.8,121.62
19,92.17613277194947,51.777649913549325,40.39848285840014,54.641,0.5314,0.465,0.0036,39.8,119.77
