epoch,average_epoch_reward,average_blue_reward,average_red_reward,average_episode_length,win_rate_blue,win_rate_red,tie_rate,max_move_reward,epoch_time_s
1,14.398524003461084,15.033029644462399,-0.6345056410013135,51.7032,0.507,0.4336,0.0594,12.4,54.11
2,13.112759942593952,11.328199432557897,1.784560510036055,52.2704,0.4918,0.4436,0.0646,12.4,54.61
3,14.122431466887248,16.411589513946563,-2.2891580470593156,51.3646,0.5116,0.4266,0.0618,12.4,54.04
4,12.053424814232883,10.691155345385315,1.3622694688475698,52.527,0.4886,0.4412,0.0702,12.4,56.0
5,12.602733373200863,13.29392082851465,-0.6911874553137882,51.9874,0.4992,0.4336,0.0672,12.4,55.82
6,14.240167468005373,12.349738729596147,1.8904287384092229,51.7442,0.4942,0.445,0.0608,12.4,56.06
7,13.146924690173266,11.414509862249195,1.7324148279240719,51.9578,0.4934,0.4436,0.063,12.4,56.73
8,14.515181060249533,11.287996240535316,3.227184819714216,52.1012,0.4904,0.4498,0.0598,12.4,57.6
9,14.669338189873589,13.227270291757225,1.442067898116363,51.1774,0.497,0.4414,0.0616,12.4,57.23
10,12.603742203633907,9.912011815455555,2.6917303881783528,51.485,0.4852,0.4466,0.0682,12.4,58.63
11,12.468978861428399,10.99653515369546,1.472443707732939,51.8782,0.4984,0.4404,0.0612,12.4,110.98
12,12.922376464500259,11.531846899537726,1.390529564962533,51.682,0.4952,0.4426,0.0622,12.4,110.62
13,12.007502838371103,10.07049260370765,1.9370102346634528,50.997,0.4922,0.4444,0.0634,12.4,107.39
14,10.590637369350018,12.536255337728457,-1.9456179683784394,51.3908,0.506,0.4264,0.0676,12.4,107.23
15,11.597666891577338,12.662112324561958,-1.0644454329846207,53.1992,0.5034,0.434,0.0626,12.4,117.12
16,12.018794117044955,12.39671000911022,-0.3779158920652648,52.438,0.5052,0.4348,0.06,12.4,115.37
17,9.38743228508376,12.088551282722268,-2.701118997638507,51.4666,0.5026,0.4304,0.067,12.4,110.04
