epoch,average_epoch_reward,average_blue_reward,average_red_reward,average_episode_length,win_rate_blue,win_rate_red,tie_rate,max_move_reward
1,32.04972933673723,12.407511799554355,19.642217537182876,70.9454,0.4672,0.4954,0.0374,12.23542486889354
2,32.61591602584409,12.38929396283451,20.226622063009586,70.7494,0.4668,0.4986,0.0346,12.23542486889354
3,30.989230133681396,14.601194451623785,16.388035682057613,70.8012,0.4768,0.4818,0.0414,12.23542486889354
4,30.692090291185966,14.75736132658993,15.934728964596035,71.9404,0.4778,0.4814,0.0408,12.23542486889354
5,30.63413081082688,14.027068911609057,16.607061899217822,71.412,0.473,0.4838,0.0432,12.23542486889354
6,30.932665544376942,14.748619323180264,16.18404622119668,71.034,0.4774,0.4794,0.0432,12.23542486889354
7,31.33074613306089,14.92952181770799,16.401224315352906,71.2264,0.4768,0.4836,0.0396,12.23542486889354
8,31.57729157851803,10.539180394347607,21.038111184170422,71.7572,0.4612,0.502,0.0368,12.23542486889354
9,29.718122945671517,14.09255695679246,15.625565988879057,71.7938,0.4766,0.4794,0.044,12.23542486889354
10,29.841232252051718,12.001122052760241,17.840110199291473,71.3524,0.4656,0.4898,0.0446,12.23542486889354
11,24.56824537234123,10.273765062168925,14.294480310172306,72.361,0.4714,0.4858,0.0428,12.23542486889354
12,24.861137215368032,9.75106596171885,15.110071253649183,72.6774,0.4678,0.4906,0.0416,12.23542486889354
13,24.289483673826542,11.754060015386486,12.535423658440056,72.497,0.4746,0.48,0.0454,12.23542486889354
14,25.92191359430888,7.403305987576117,18.518607606732765,72.1914,0.4566,0.5024,0.041,12.23542486889354
15,26.252847816079488,11.086662007199724,15.166185808879764,71.7768,0.471,0.4894,0.0396,12.23542486889354
16,26.092017816255904,10.67440016162407,15.417617654631837,71.9372,0.4704,0.485,0.0446,12.23542486889354
17,25.66569211603961,12.500754009494312,13.1649381065453,72.9166,0.4782,0.482,0.0398,12.23542486889354
18,25.903453007978257,9.043819664645778,16.85963334333248,72.6666,0.4632,0.4994,0.0374,12.23542486889354
19,24.16915604780815,10.74483562282856,13.42432042497959,73.0644,0.4728,0.4816,0.0456,12.23542486889354
20,26.06931278321417,10.722917582113679,15.346395201100494,72.621,0.4682,0.4866,0.0452,12.23542486889354
21,24.54716993084641,13.47836378692293,11.068806143923481,73.9092,0.4832,0.4726,0.0442,12.23542486889354
22,25.14914549381084,10.198585958591158,14.95055953521968,72.9272,0.4718,0.4906,0.0376,12.23542486889354
23,23.47668295956858,11.19218919876152,12.284493760807063,73.773,0.4742,0.4768,0.049,12.23542486889354
24,23.636227299959398,8.025583666009021,15.610643633950374,73.471,0.4624,0.4924,0.0452,12.23542486889354
25,23.08708365973736,8.10009080883916,14.9869928508982,74.5304,0.4648,0.496,0.0392,12.23542486889354
26,23.95123077790895,9.813127902674879,14.138102875234074,74.0478,0.4676,0.4852,0.0472,12.23542486889354
27,24.376703706348792,9.771503619771888,14.605200086576902,74.5514,0.4666,0.4874,0.046,12.23542486889354
28,24.29000153826885,8.221788703443348,16.068212834825502,74.994,0.4646,0.4934,0.042,12.23542486889354
29,22.807759290137113,10.67086351479019,12.136895775346922,74.074,0.4686,0.4806,0.0508,12.23542486889354
30,23.278125068486393,10.883086881847179,12.395038186639212,75.4004,0.474,0.4804,0.0456,12.23542486889354
31,20.666274610053,7.710547705674307,12.955726904378693,75.6468,0.4666,0.4878,0.0456,12.23542486889354
32,21.049793449318262,7.874104856146071,13.17568859317219,76.1426,0.4662,0.486,0.0478,12.23542486889354
33,21.440475725150673,8.116968375814988,13.323507349335685,76.9766,0.468,0.4866,0.0454,12.23542486889354
34,21.41717455754092,8.769839861170388,12.647334696370534,75.5648,0.469,0.4806,0.0504,12.23542486889354
35,20.586516149945336,6.873231476521574,13.713284673423763,76.9642,0.4612,0.49,0.0488,12.23542486889354
36,22.125702870739584,9.086625893760795,13.039076976978789,77.394,0.4672,0.4848,0.048,12.23542486889354
37,18.877380105217437,6.24204248992159,12.635337615295844,79.1,0.4586,0.4848,0.0566,12.23542486889354
38,18.329543576194226,5.815378035799232,12.514165540394995,78.6018,0.4606,0.4814,0.058,12.23542486889354
39,18.125857663270082,2.3875933751713174,15.738264288098767,78.9586,0.4408,0.4976,0.0616,12.23542486889354
40,20.06721111716703,8.301387859887255,11.765823257279775,78.5302,0.4636,0.4788,0.0576,12.23542486889354
41,16.703133689743307,6.160799500542793,10.542334189200513,79.2742,0.4636,0.478,0.0584,12.23542486889354
42,17.380739199904923,3.832551283668826,13.548187916236097,79.3478,0.4488,0.4914,0.0598,12.23542486889354
43,18.516133809880674,5.65841379039962,12.857720019481054,79.623,0.4546,0.489,0.0564,12.23542486889354
44,17.266009975761182,5.670410123133172,11.595599852628013,79.5852,0.4554,0.483,0.0616,12.23542486889354
45,14.481050277210755,4.362531217547818,10.118519059662937,81.3922,0.4554,0.4772,0.0674,12.23542486889354
46,15.705539799219606,2.4263882396586904,13.279151559560916,81.3418,0.4444,0.4912,0.0644,12.23542486889354
47,14.408455648001985,5.401200343272429,9.007255304729554,82.9588,0.4608,0.4744,0.0648,12.23542486889354
48,13.925795097426349,3.3773949604615736,10.548400136964775,83.6908,0.45,0.4794,0.0706,12.23542486889354
49,12.84389584722295,3.2399795021368027,9.603916345086146,83.7892,0.4526,0.4764,0.071,12.23542486889354
50,11.909402511493607,1.6709362799738654,10.238466231519743,84.371,0.4446,0.4822,0.0732,12.23542486889354
51,11.0232708816478,2.2279703479654587,8.79530053368234,85.3662,0.4472,0.4748,0.078,12.23542486889354
52,7.109976208300001,1.3535082782185126,5.756467930081487,86.145,0.4474,0.4652,0.0874,12.23542486889354
53,5.212475445501694,0.04320092672299073,5.169274518778703,87.5686,0.4468,0.4656,0.0876,12.23542486889354
54,4.450226867650395,0.28422374878023227,4.1660031188701625,87.835,0.4432,0.4638,0.093,12.23542486889354
55,5.203645953520789,1.7312968146050995,3.4723491389156895,86.9436,0.4486,0.4608,0.0906,12.23542486889354
56,4.377140069995652,1.4370778605720431,2.940062209423609,87.7808,0.446,0.4534,0.1006,12.23542486889354
57,4.80525121232031,-2.6256155339662475,7.430866746286558,87.5268,0.429,0.4736,0.0974,12.23542486889354
58,4.118299814859193,1.4099262377218251,2.708373577137368,87.1724,0.4476,0.4486,0.1038,12.23542486889354
59,2.4464793304874757,-4.054433315358431,6.500912645845908,87.0664,0.4234,0.4666,0.11,12.23542486889354
60,0.5857707196679385,-1.6621899134461557,2.247960633114094,88.4844,0.4372,0.4544,0.1084,12.23542486889354
61,-2.265707912909735,-2.101778506794119,-0.16392940611561602,87.8986,0.4306,0.4442,0.1252,12.23542486889354
62,2.4095806641932143,-0.4161071410580012,2.8256878052512153,85.4684,0.4368,0.4542,0.109,12.23542486889354
63,6.049706210549394,0.9705592654817814,5.079146945067612,85.2168,0.4406,0.451,0.1084,12.23542486889354
64,3.1355342495596967,-0.7700180958019514,3.905552345361648,84.1454,0.4382,0.455,0.1068,12.23542486889354
65,-1.3310697989337457,-2.2860265749551707,0.9549567760214248,86.0462,0.4346,0.4436,0.1218,12.23542486889354
66,-6.437218765783291,-8.367659934754458,1.9304411689711676,87.3546,0.4072,0.4464,0.1464,12.23542486889354
67,-9.22518128431445,-7.621883549547224,-1.603297734767226,86.7162,0.4088,0.4356,0.1556,12.23542486889354
68,-7.158510854088342,-5.007039024373853,-2.1514718297144895,85.3632,0.4194,0.4282,0.1524,12.23542486889354
