epoch,average_epoch_reward,average_blue_reward,average_red_reward,average_episode_length,win_rate_blue,win_rate_red,tie_rate,max_move_reward
1,43.63430050145866,32.36651453205819,11.267785969400467,41.5334,0.4976,0.409,0.0934,84.68542486889353
2,42.9487560796084,30.802983419720626,12.145772659887777,41.78,0.4904,0.4076,0.102,69.83377223398315
3,43.88401918256196,31.848705678609385,12.035313503952565,41.4948,0.494,0.4108,0.0952,69.81833752096446
4,43.31171053756429,31.329838111040274,11.98187242652401,42.21,0.4926,0.4034,0.104,80.55
5,43.19902657449407,27.974678021001438,15.224348553492632,41.4362,0.4762,0.4226,0.1012,80.48542486889355
6,43.83678340546335,31.81168896688975,12.025094438573598,42.256,0.4918,0.4072,0.101,55.38542486889354
7,42.77602526462503,27.16015620549592,15.615869059129105,42.2812,0.4734,0.4182,0.1084,64.55
8,43.4623748053003,32.72553877195951,10.73683603334078,42.7192,0.4956,0.4006,0.1038,85.93768943743822
9,43.319381431628074,29.949610555206117,13.36977087642196,42.424,0.4834,0.4128,0.1038,70.21833752096445
10,43.026463848946904,29.45152187127869,13.574941977668214,42.6214,0.4806,0.4132,0.1062,75.88542486889354
11,36.08930379736435,25.89729644596036,10.192007351403985,43.5494,0.4794,0.405,0.1156,70.02639320225002
12,35.643372359971835,26.69490728650462,8.948465073467213,44.0004,0.4848,0.3998,0.1154,37.818337520964455
13,36.01102429054711,22.44873358326252,13.562290707284593,43.3398,0.4654,0.4232,0.1114,65.60278640450004
14,34.43566353161094,23.470232178090846,10.965431353520092,44.1068,0.476,0.409,0.115,65.28542486889354
15,36.579293837862785,27.762261883607373,8.817031954255418,43.7422,0.4852,0.3956,0.1192,55.737689437438235
16,35.253210241041266,26.04789418645024,9.205316054591028,44.4028,0.4826,0.3984,0.119,69.41833752096446
17,36.14298804578669,23.324144030650775,12.818844015135912,44.3606,0.4712,0.4128,0.116,64.86715728752537
18,34.35070775325814,23.533423770903358,10.817283982354782,43.646,0.4762,0.4124,0.1114,36.1
19,38.34979425077208,28.491860084188136,9.857934166583942,43.959,0.4892,0.3958,0.115,69.7894448724536
20,35.5698853888614,24.848824785449427,10.721060603411974,43.7636,0.4662,0.4088,0.125,65.94999999999999
21,33.79009830659578,23.17653547017783,10.613562836417948,44.7758,0.4678,0.3996,0.1326,85.37679491924311
22,35.48261318377845,24.330194322535238,11.15241886124321,45.0422,0.4636,0.397,0.1394,70.26270166537925
23,33.997638572518646,27.044337116488524,6.953301456030122,44.6868,0.4816,0.3826,0.1358,55.7758342613226
24,35.12621583667847,26.245100492955157,8.88111534372331,42.8184,0.477,0.39,0.133,55.92639320225002
25,33.87263720072537,23.930266703587964,9.942370497137405,44.1246,0.4716,0.3926,0.1358,61.10505102572168
26,34.97324403013121,23.453120936881184,11.520123093250028,46.0608,0.4536,0.3944,0.152,66.60358983848622
27,34.764646779697124,25.76967540729063,8.994971372406496,45.5966,0.4682,0.3848,0.147,56.15
28,35.99415045001373,26.833100841901103,9.16104960811263,44.1478,0.4686,0.3834,0.148,66.35
29,33.92638872498514,26.749535540171877,7.176853184813264,44.8468,0.4754,0.3794,0.1452,56.318337520964455
30,37.49491964437979,26.966894739432586,10.528024904947202,45.3478,0.47,0.3868,0.1432,66.06715728752538
31,32.10672437064866,23.268597073810394,8.838127296838257,45.2052,0.4558,0.3876,0.1566,66.11411010564593
32,35.91908828545361,25.033771085571683,10.885317199881927,44.9838,0.4634,0.3878,0.1488,70.57041684766872
33,33.445138571918385,23.252886005557805,10.192252566360574,44.5194,0.452,0.3896,0.1584,70.55
34,35.23392803989956,26.905681656163075,8.328246383736484,44.448,0.465,0.3776,0.1574,70.44999999999999
35,32.35129293603146,22.347729804089788,10.003563131941677,44.725,0.4586,0.39,0.1514,66.16715728752538
36,35.854465356241,24.033122227099923,11.82134312914108,44.1554,0.455,0.3974,0.1476,80.80505102572168
37,33.86974269101981,23.15831621954872,10.711426471471093,44.8444,0.448,0.382,0.17,66.23095842401766
38,34.206146243548595,21.4477957469732,12.758350496575398,44.0502,0.451,0.3988,0.1502,50.803589838486225
39,35.84622374710582,27.17851771804779,8.667706029058033,44.3998,0.4674,0.382,0.1506,79.96715728752538
40,35.813293165170215,23.13796609964015,12.675327065530066,43.4942,0.4532,0.3988,0.148,84.90505102572168
41,35.3503288913852,26.796248140207194,8.554080751178004,43.3304,0.4672,0.3854,0.1474,84.98542486889355
42,34.09590287785383,25.14238998336352,8.953512894490316,44.2832,0.4556,0.3774,0.167,55.9758342613226
43,36.813803542697315,24.903409871207142,11.910393671490173,42.544,0.461,0.3944,0.1446,70.18542486889353
44,34.630813333081846,25.75166874456598,8.879144588515862,43.8588,0.4624,0.3778,0.1598,65.98542486889353
