epoch,average_epoch_reward,average_blue_reward,average_red_reward,average_episode_length,win_rate_blue,win_rate_red,tie_rate,max_move_reward,epoch_time_s
1,25.68978321685791,17.84429689216614,7.845486324691772,53.8574,0.5224,0.4734,0.0042,12.4,58.45
2,25.408097323083876,19.470227783584594,5.937869539499283,53.1872,0.5292,0.467,0.0038,12.4,54.92
3,25.92969288816452,18.724648761558534,7.205044126605988,53.9334,0.5262,0.4704,0.0034,12.4,56.97
4,26.081424538993836,22.14724629459381,3.9341782444000244,53.691,0.5398,0.4582,0.002,12.4,57.13
5,25.76132320022583,21.377441161346436,4.383882038879395,54.1422,0.537,0.4574,0.0056,12.4,58.82
6,26.418778560066222,17.543495282554627,8.875283277511597,52.9926,0.52,0.4788,0.0012,12.4,61.16
7,25.39258062801361,19.674068918418886,5.718511709594726,53.7186,0.531,0.4646,0.0044,12.4,60.95
8,25.590874536705016,20.53510481033325,5.055769726371765,54.3644,0.5338,0.4624,0.0038,12.4,64.39
9,25.644549379396437,21.947803995513915,3.6967453838825226,53.6138,0.5406,0.4552,0.0042,12.4,64.92
10,25.59882996749878,22.19060684738159,3.4082231201171873,54.3168,0.5408,0.4554,0.0038,12.4,64.0
11,19.903822082614898,15.772654048252106,4.131168034362793,54.4208,0.5318,0.4652,0.003,12.4,112.57
12,20.494201767349242,16.784596783065798,3.7096049842834473,54.3194,0.5316,0.4648,0.0036,12.4,109.65
13,21.341752794647217,15.246854483413696,6.09489831123352,54.7832,0.5222,0.4742,0.0036,12.4,113.21
14,20.246182612609864,18.420674580383302,1.8255080322265624,54.6258,0.5422,0.455,0.0028,12.4,107.79
15,19.264896608161926,14.197784738922119,5.067111869239807,54.4582,0.5244,0.4732,0.0024,12.4,106.47
16,20.555693921279907,18.32958339958191,2.226110521697998,54.0516,0.5412,0.455,0.0038,12.4,109.39
17,20.735944901275634,15.81583784866333,4.9201070526123045,55.8312,0.5298,0.4678,0.0024,12.4,111.21
18,21.63577762718201,16.078066987991335,5.557710639190674,55.3942,0.5242,0.4724,0.0034,12.4,109.29
19,21.384778506088256,17.650773942184447,3.7340045639038086,54.6778,0.5316,0.4632,0.0052,12.4,108.46
20,20.271544945144655,17.5900421295166,2.681502815628052,54.892,0.5354,0.4604,0.0042,12.4,109.82
21,26.567924754714966,12.355220854568481,14.212703900146485,73.0156,0.4914,0.5068,0.0018,12.23542486889354,178.41
22,24.471320891189574,9.214067744445801,15.257253146743775,73.058,0.4802,0.5172,0.0026,12.23542486889354,181.86
23,26.83628836097717,9.617013461303712,17.21927489967346,73.9442,0.48,0.517,0.003,12.23542486889354,180.79
24,25.053624257659912,10.760710228729248,14.292914028930664,72.7934,0.488,0.509,0.003,12.23542486889354,183.53
25,24.178856092834472,10.512237036514282,13.66661905632019,74.4182,0.4898,0.5076,0.0026,12.23542486889354,186.92
26,26.989466679382325,12.485662204742432,14.503804474639892,74.0946,0.4936,0.505,0.0014,12.23542486889354,186.33
27,25.438656476974487,13.620342226028443,11.818314250946045,72.7474,0.5048,0.492,0.0032,12.23542486889354,181.69
28,27.67094747772217,11.179840061569214,16.491107416152953,73.7094,0.4862,0.5114,0.0024,12.23542486889354,181.97
29,25.999323774337768,10.32047022781372,15.678853546524048,74.5104,0.4854,0.5114,0.0032,12.23542486889354,179.57
30,28.007593019485473,13.665893308639527,14.341699710845948,74.492,0.4942,0.5034,0.0024,12.23542486889354,179.74
31,26.33910220146179,9.645922912216186,16.693179289245606,74.4892,0.484,0.5134,0.0026,12.23542486889354,173.95
32,26.922776980781556,9.293822075080872,17.628954905700684,74.4516,0.4828,0.5138,0.0034,12.23542486889354,179.39
33,25.898342851638795,10.88435069885254,15.013992152786255,74.6228,0.49,0.5068,0.0032,12.23542486889354,176.84
34,27.29755842819214,14.039156661987304,13.258401766204834,74.6242,0.5014,0.497,0.0016,12.23542486889354,181.37
35,27.21565351905823,12.860582483673095,14.355071035385132,74.4248,0.4952,0.5036,0.0012,12.23542486889354,175.67
36,24.874827783203123,9.573409047317504,15.30141873588562,76.2328,0.4876,0.5094,0.003,12.23542486889354,181.59
37,26.749138437271117,10.881253986358642,15.867884450912475,75.9924,0.4856,0.5112,0.0032,12.23542486889354,180.86
38,28.64957308998108,11.77610058708191,16.87347250289917,75.7726,0.4922,0.5052,0.0026,12.23542486889354,177.66
39,28.164706652069093,14.032546667480469,14.132159984588624,74.9062,0.499,0.499,0.002,12.23542486889354,180.92
40,29.193223685073853,10.232207545852662,18.96101613922119,75.7434,0.4826,0.5148,0.0026,12.23542486889354,183.55
41,25.54648176422119,10.221388651847839,15.325093112373352,76.5514,0.4902,0.5068,0.003,12.23542486889354,184.62
42,27.81926809463501,9.96968109588623,17.84958699874878,75.8806,0.482,0.5148,0.0032,12.23542486889354,180.26
43,27.549748641204832,9.741874504089356,17.80787413711548,76.5434,0.4794,0.5182,0.0024,12.23542486889354,182.69
44,29.94007629673481,9.95051851272583,19.98955778400898,75.9944,0.4776,0.52,0.0024,12.23542486889354,182.96
45,28.8263921497345,12.410556230926513,16.415835918807982,77.6826,0.4916,0.5052,0.0032,12.23542486889354,185.93
46,28.828053276252746,13.17427573852539,15.653777537727356,77.3052,0.4912,0.5062,0.0026,12.23542486889354,188.93
47,31.90978205871582,10.786835961151123,21.122946097564697,78.0344,0.475,0.5218,0.0032,12.23542486889354,188.75
