epoch,average_epoch_reward,average_blue_reward,average_red_reward,average_episode_length,win_rate_blue,win_rate_red,tie_rate,max_move_reward,epoch_time_s
1,-1.6892,5.3566,-7.0458,54.3794,0.5294,0.4676,0.003,0,55.03
2,-1.792,4.5332,-6.3252,53.7432,0.5246,0.4712,0.0042,0,55.42
3,-2.0108,6.665,-8.6758,53.5376,0.5368,0.4598,0.0034,0,56.43
4,-1.92,6.3444,-8.2644,53.965,0.5334,0.461,0.0056,0,57.46
5,-1.762,1.6378,-3.3998,52.8146,0.5106,0.4848,0.0046,0,57.35
6,-1.5956,4.7858,-6.3814,53.6724,0.5264,0.4702,0.0034,0,58.73
7,-1.3852,4.0986,-5.4838,54.2364,0.5226,0.4746,0.0028,0,59.74
8,-1.8408,4.2416,-6.0824,53.3102,0.5232,0.4724,0.0044,0,59.32
9,-1.5936,5.8116,-7.4052,53.5944,0.5318,0.4654,0.0028,0,60.18
10,-4.316,2.0892,-6.4052,53.0884,0.522,0.472,0.006,0,115.24
11,-2.2164,5.0912,-7.3076,53.219,0.5362,0.4586,0.0052,0,119.35
12,-3.1972,4.4272,-7.6244,52.6042,0.5282,0.469,0.0028,0,113.14
13,-2.2486,2.7992,-5.0478,53.2946,0.519,0.4752,0.0058,0,116.17
14,-2.07,2.5538,-4.6238,54.5854,0.5204,0.4782,0.0014,0,119.1
15,-1.4186,3.7912,-5.2098,54.3284,0.5226,0.4724,0.005,0,120.17
16,-1.6526,3.684,-5.3366,54.5964,0.5218,0.4742,0.004,0,118.65
17,-2.1838,3.8314,-6.0152,53.8312,0.526,0.4696,0.0044,0,116.76
18,-2.4746,4.7744,-7.249,54.1366,0.5326,0.4638,0.0036,0,116.51
19,-2.016,4.4874,-6.5034,54.4222,0.528,0.4668,0.0052,0,117.3
20,-1.6512,3.6604,-5.3116,54.4408,0.5254,0.4706,0.004,0,118.75
21,-5.2598,-3.782,-1.4778,72.8238,0.4906,0.5056,0.0038,0,159.39
22,-4.0814,-1.5608,-2.5206,73.1904,0.502,0.4942,0.0038,0,163.99
23,-5.2002,-5.1526,-0.0476,73.1008,0.48,0.516,0.004,0,166.43
24,-4.8728,-3.1934,-1.6794,74.3044,0.4982,0.4978,0.004,0,164.16
25,-3.3112,-2.573,-0.7382,73.4572,0.4924,0.5036,0.004,0,163.65
26,-4.2672,-5.167,0.8998,73.0436,0.4826,0.5142,0.0032,0,165.43
27,-2.8856,-2.6918,-0.1938,72.4668,0.4934,0.504,0.0026,0,164.02
28,-4.131,-2.3912,-1.7398,73.3418,0.496,0.5008,0.0032,0,162.02
29,-4.1032,-3.9918,-0.1114,72.9868,0.487,0.5104,0.0026,0,167.33
30,-5.2708,-3.1068,-2.164,74.1206,0.4946,0.5008,0.0046,0,166.4
31,-3.7474,-2.9288,-0.8186,75.3872,0.4932,0.5034,0.0034,0,170.31
32,-3.9904,-2.7526,-1.2378,73.7952,0.495,0.5028,0.0022,0,169.68
