game_number,player_color,ai_model,blue_win,red_win,total_reward,blue_reward,red_reward,time,moves,reward_list
1,RED,PPO-parallel (epoch 258),0,1,4.9751,-85.4495,90.4247,2026-02-17 11:20:09,"10-14, 23-18, 14x23, 27x18, 9-14, 18x9, 5x14, 26-23, 7-10, 24-19, 10-15, 19x10, 6x15, 28-24, 3-7, 30-26, 7-10, 31-27, 2-7, 23-19, 1-5, 26-23, 5-9, 23-18, 14x23, 27x18, 9-14, 18x9, 10-14, 19x10x3, 11-15, 9-6, 8-11, 6-2, 11-16, 3-7, 16-19, 7-11, 19x28, 11x18x9, 4-8, 2-7, 8-11, 7x16, 12x19, 9-14, 19-23, 14-18, 23-26, 18-23, 26-30, 23-27, 30-26, 22-18, 26-22, 18-14, 22-18, 14-10, 18-14, 10-7, 14-10, 7-2, 10-15, 27-23, 15-11, 25-22, 11-7, 2x11","0.9000, -1.4914, 0.7268, 5.9000, -1.7736, 0.6051, 5.6354, 0.7172, 0.7000, 0.6838, -1.6817, 3.0536, 5.7394, 0.5758, 0.4627, 0.3000, 0.5377, 0.0257, 0.1641, 0.0028, -0.1083, -0.0190, -0.1296, -2.2899, 2.2500, 5.1401, -2.7196, 7.3708, -2.7885, 22.4523, -0.2068, -0.0657, -0.2245, 7.5169, -0.2416, 0.0000, -0.2583, -2.5164, 2.2255, 17.3175, -0.7903, -0.0981, -3.3057, 2.3867, 4.2292, -0.2782, -0.7856, -0.0428, 1.8000, -0.2071, 9.3859, -0.2211, -0.6280, 2.5152, -0.6416, 2.2517, 2.0950, 2.2384, -0.6681, 2.3254, -0.6810, 9.8126, -0.5437, -0.2000, -0.8062, -0.2124, -3.3185, 4.8754, -100.0000"
2,BLUE,PPO-parallel (epoch 259),1,0,191.6735,179.0649,12.6086,2026-02-17 11:26:24,"10-15, 24-20, 12-16, 23-18, 6-10, 26-23, 9-14, 18x9, 5x14, 23-18, 14x23, 27x18, 15-19, 18-14, 10x17x26, 30x23, 19x26, 31x22, 7-10, 22-18, 11-15, 20x11, 15x22, 25x18, 8x15x22, 21-17, 10-15, 17-14, 1-6, 14-10, 15-19, 10x1, 2-7, 1-5, 7-10, 5-1, 19-23, 1-5, 23-26, 5-1, 26-31, 1-5, 22-26, 5-1, 26-30, 1-5, 10-15, 5-1, 15-19, 1-5, 19-23, 5-1, 31-26, 1-5, 26-22, 5-1, 30-26, 1-5, 3-8, 5-1, 8-11, 1-5, 11-15, 5-1, 4-8, 1-5, 8-11, 5-1, 11-16, 1-5, 16-19, 5-1, 26-30, 1-5, 23-26, 5-1, 26-31, 1-5, 19-23, 5-1, 22-26, 1-5, 23-27, 32x23, 26x19, 5-1, 15-18, 1-5, 18-23, 5-1, 23-27, 1-5, 27-32, 5-1, 31-26, 1-5, 26-22, 5-1, 22-17, 1-5, 17-14, 5-1, 14-9, 1-5, 9-6, 5-1, 6-10, 1-5, 30-26, 5-1, 26-22, 1-5, 19-23, 5-1, 23-26, 1-6, 10x1, 29-25, 22x29, 28-24, 26-23, 24-19, 23x16","1.0500, 0.8586, 0.9768, 0.9500, 0.9264, 1.0051, -1.6146, 3.2172, 5.8000, -1.6162, 3.1683, 5.8036, 0.4394, -1.9742, 10.4127, 2.7500, 2.9377, 5.0257, 0.4641, 0.2528, -4.3083, 2.7310, 2.9704, 2.7601, 17.9000, -0.0099, 0.7304, -0.0292, 0.4615, -0.0477, -2.3068, 15.0343, -0.2245, 0.0169, -0.1416, 0.0000, -0.1583, -0.0164, -0.1745, -0.0325, 7.4097, -0.0481, -0.1057, -0.0633, 7.4792, -0.0782, 0.1144, -0.0928, -0.1500, -0.1071, -0.1641, -0.1211, -0.0780, -0.1348, -0.0916, -0.1483, -0.1050, -0.1616, -0.3681, -0.1746, -0.3810, -0.1874, -0.1437, -0.2000, -0.4062, -0.2124, -0.4185, -0.2246, -0.4307, -0.2367, -0.4426, -0.2485, -0.4544, -0.2602, -0.4660, -0.2718, 7.1225, -0.2832, -0.3888, -0.2944, -0.4000, -0.3055, -2.9110, 1.9335, 4.5280, -0.6274, -0.3827, -0.6381, -0.7434, -0.6487, -0.7539, -0.6592, 6.8356, -0.6695, -0.5747, -0.6798, -0.5849, -0.6899, -0.5950, -0.7000, -0.6050, -0.7100, -0.6149, -0.7198, 1.8753, -0.7296, 1.8656, -0.7392, -0.6440, -0.7488, -0.6536, -0.7583, -0.6630, -0.7677, -0.7724, -3.2770, 6.9683, -3.5863, 6.9591, -1.1454, -0.4500, -3.6545, 104.5409"
3,RED,PPO-parallel (epoch 280),0,1,147.1334,-16.9456,164.0790,2026-02-17 15:36:39,"10-14, 23-18, 14x23, 27x18, 9-14, 18x9, 5x14, 22-18, 14x23, 26x19, 7-10, 25-22, 10-15, 19x10, 6x15, 30-26, 3-7, 26-23, 7-10, 31-26, 10-14, 32-27, 1-5, 29-25, 5-9, 24-20, 9-13, 27-24, 13-17, 22x13, 2-7, 13-9, 7-10, 9-6, 14-18, 23x14x7, 15-18, 7-3, 18-23, 26x19, 11-15, 19x10, 8-11, 6-2, 11-15, 10-6, 4-8, 6-1, 8-11, 2-7, 15-18, 7x16, 12x19, 24x15, 18-23, 3-8, 23-26, 15-10, 26-30, 25-22, 30-26, 22-17, 26-22, 17-14, 22-18, 14-9, 18-14, 9-6, 14x7, 6-2, 7-11, 8x15","0.8000, -1.6328, 0.5536, 5.7000, -1.9972, 0.3601, 5.3708, -1.9157, 2.7000, 5.3175, 0.2867, 0.2572, -2.1211, 2.7017, 5.2754, -0.0500, -0.0246, -0.1985, 0.0282, -0.3944, -0.0165, -0.6881, -0.3092, -0.9798, -0.3500, -1.0198, -0.3892, -1.0583, -2.9270, 3.9046, -0.8636, -1.1314, -0.7989, -1.1662, -3.0832, 16.3000, -0.8666, 6.3671, -3.7490, 6.2351, -3.4806, 3.8039, -1.2115, 6.3734, -0.9916, -1.1565, -1.2711, 6.4144, -1.3000, -1.2142, -3.7283, 1.2578, 1.2940, 3.9303, -1.5332, -1.0967, -1.5600, -1.3732, 6.0138, -1.3992, -1.5120, 1.0752, -1.5375, 1.0500, -1.3125, 1.0252, -1.5871, -3.9992, 3.3887, 6.1267, -4.1352, 106.3529"
4,BLUE,PPO-parallel (epoch 280),1,0,155.4146,171.1854,-15.7709,2026-02-17 15:37:46,"10-15, 24-19, 15x24, 28x19, 7-10, 19-15, 10x19, 23x16x7, 3x10, 27-23, 8-11, 23-18, 12-16, 26-23, 9-14, 18x9, 5x14, 23-18, 14x23, 22-18, 4-8, 18-14, 10x17, 21x14, 2-7, 25-21, 16-19, 14-10, 7x14, 30-26, 23x30, 32-28, 19-23, 31-26, 23-27, 26-22, 27-31, 22-18, 14x23, 21-17, 6-10, 17-14, 10x17, 29-25, 30x21, 28-24, 23-27, 24-19, 27-32, 19-15, 11x18","0.9500, -1.7828, 0.5536, 5.5500, 0.5028, -4.2899, 2.9208, 10.3343, 5.0000, 0.2175, -0.0633, 0.3072, -0.1211, 0.3517, -2.6746, 0.0500, 4.8254, -2.2985, 7.3782, 0.2056, -0.4165, -2.5881, 2.0408, 4.9202, -0.9000, -0.1198, -0.9392, -5.1583, 6.6230, -2.8954, 11.6864, -0.6314, -0.8489, -1.0162, 1.6168, 1.4500, 6.6834, -3.3329, 6.6510, -1.0649, -0.8806, -3.5961, 6.5885, -3.8266, 4.0584, -1.4065, -0.9711, -1.4356, 6.6000, -3.7142, 104.3217"
5,BLUE,PPO-parallel (epoch 40),1,0,-22.4329,196.2880,-218.7209,2026-02-21 12:59:27,"10-15, 22-18, 15x22, 26x17, 9-14, 17x10, 6x15, 31-26, 7-10, 24-20, 5-9, 25-22, 9-14, 27-24, 2-6, 22-18, 15x22x31, 30-26, 31x22, 20-16, 12x19x26, 24-20, 26-30, 32-27, 22-26, 28-24, 14-18, 29-25, 10-15, 24-19, 15x24x31, 25-22, 18x25, 20-16, 11x20, 21-17, 25-29, 17-14, 20-24, 14-9, 6x13","0.9500, -0.1414, 0.6536, -10.0000, 4.8000, -10.0000, -1.9972, 4.7551, -10.0000, 5.5208, -10.0000, -0.2828, 0.5500, -0.3162, 0.4867, -0.3464, 0.4289, -0.3742, 0.1254, -0.4000, 24.9254, -20.0000, -0.4243, 4.9782, -10.0000, -0.4472, 19.8335, -20.0000, -0.4690, 7.3908, -0.4899, -0.1500, -0.5099, 0.0608, -0.5292, 0.3730, -0.5477, 22.6864, -20.0000, -0.5657, 7.4011, -10.0000, -0.5831, 7.3668, -10.0000, -0.6000, 7.4334, -0.6164, -0.0990, -0.6325, 107.3694, -10.0000, -100.0000"
6,BLUE,PPO-parallel (epoch 47),1,0,-74.2968,131.4137,-205.7105,2026-02-21 13:00:43,"11-15, 24-19, 15x24, 27x20, 12-16, 20x11, 7x16, 22-18, 2-7, 18-14, 9x18x27, 31x24, 10-15, 24-20, 8-11, 32-27, 7-10, 25-22, 5-9, 27-23, 9-14, 30-25, 3-7, 22-18, 15x22x31, 28-24, 14-18, 23x14, 10x17, 21x14, 6-10, 25-22, 10x17x26, 24-19, 16x23, 29-25, 26-30, 25-21, 4-8, 20-16, 11x20, 21-17, 30-25, 17-14, 25-22, 14-10, 7x14","1.0500, -0.1414, 0.6536, -10.0000, 4.8000, -10.0000, -1.9972, 4.7551, -10.0000, 5.3708, -10.0000, -0.2828, 0.1500, -0.3162, 9.9867, -20.0000, 4.6536, -10.0000, 0.1289, -0.3742, 2.5754, -0.4000, 0.1254, -0.4243, 0.0782, -0.4472, 0.0335, -0.4690, -0.2592, -0.4899, 27.0500, -20.0000, -0.5099, -2.7392, 4.4708, -10.0000, 1.9230, -10.0000, 4.4523, -10.0000, -0.6636, -0.5657, 16.8011, -20.0000, -0.5831, 6.7668, -10.0000, -0.6000, 6.8334, -0.6164, -0.9490, -0.6325, 4.0194, -10.0000, -0.6481, -1.0115, -0.6633, -1.0416, -0.6782, 106.5289, -10.0000, -100.0000"
7,RED,PPO-parallel (epoch 47),0,1,-69.2286,-105.4076,36.1790,2026-02-21 13:02:56,"11-16, 23-19, 16x23, 27x18, 9-13, 22-17, 13x22, 26x17, 10-15, 18x11, 7x16, 30-26, 2-7, 31-27, 7-11, 27-23, 16-20, 32-27, 6-10, 24-19, 11-16, 28-24, 10-14, 17x10, 3-7, 10x3, 8-11, 3-7, 11-15, 19x10, 1-6, 10x1, 5-9, 1-6, 16-19, 24x15, 9-13, 25-22, 4-8, 21-17, 8-11, 15x8, 20-24, 27x20, 12-16, 20x11","-0.1000, -1.7828, 4.8268, -10.0000, 5.7000, -10.0000, -0.2236, -1.8899, 4.7354, -10.0000, 5.5843, -10.0000, -0.3000, 0.3675, -10.0000, 4.6683, -10.0000, 0.0072, -0.3606, -0.2983, -0.3873, -0.3500, -0.4123, 1.8515, -0.4359, -0.6944, -0.4583, -0.7381, -0.4796, 4.2202, -10.0000, -0.5000, 14.2802, -10.0000, -0.5196, -0.7583, -0.5385, 4.2046, -10.0000, -0.5568, 14.2686, -10.0000, -0.5745, -0.7662, -0.5916, 6.9500, -10.0000, -0.6083, -0.5829, -0.6245, -0.6149, -0.6403, 6.6039, -10.0000, -0.6557, 6.5734, -10.0000, -0.6708, 4.0435, -10.0000, 0.0000"
8,BLUE,PPO-parallel (epoch 110),1,0,-64.2968,136.4137,-200.7105,2026-02-21 21:51:47,"11-15, 23-19, 8-11, 26-23, 10-14, 19x10, 6x15, 24-20, 15-19, 23x16, 12x19, 27-23, 19x26, 30x23, 11-15, 23-19, 15x24, 28x19, 7-11, 32-28, 4-8, 22-18, 14x23, 25-22, 9-14, 29-25, 3-7, 22-18, 5-9, 25-22, 23-26, 31-27, 14x23x32, 22-18, 26-31, 18-14, 9x18, 19-15, 32-27, 15-10, 7x14, 28-24, 27-23, 24-19, 23x16, 21-17, 14x21","1.0500, -0.1414, 0.9036, -0.2000, -1.6972, 4.7551, -10.0000, 5.6708, -10.0000, -0.2828, -2.1500, 4.6838, -10.0000, 5.3367, -10.0000, -0.3464, 2.6789, -10.0000, 4.6258, -10.0000, 0.4254, -0.4000, 2.6254, -10.0000, 4.5757, -10.0000, 0.0282, -0.4472, -0.2665, -0.4690, 4.7908, -10.0000, -0.4899, -0.2500, -0.5099, -0.5392, -0.5292, 1.9230, -0.5477, -0.7136, -0.5657, 24.4511, -20.0000, -0.5831, 6.9168, -0.6000, 7.1334, -10.0000, -0.6164, -0.3990, -0.6325, 7.1694, -10.0000, -0.6481, -0.3615, -0.6633, 4.6084, -10.0000, -0.6782, 7.0789, -10.0000, 0.0000, 100.0000, -100.0000"
9,RED,League-aggressive (epoch 72),0,0,-393.8188,-3.4645,-390.3542,2026-02-23 01:24:28,"9-14, 23-18, 14x23, 26x19, 6-9, 27-23, 9-13, 22-17, 13x22, 25x18, 10-14, 18x9, 5x14, 30-26, 7-10, 29-25, 11-15, 32-27, 3-7, 26-22, 8-11, 22-17, 1-6, 31-26, 6-9, 26-22, 9-13, 19-16, 11x20, 23-19, 7-11, 27-23, 20x27, 28-24, 27-32, 22-18, 15x22x29, 23-18, 14x23, 19-16, 11x20x27, 17-14, 10x17, 21x14, 32-28, 14-9, 2-7, 9-6, 29-25, 6-2, 23-26, 2x11, 26-31, 11-7, 31-26, 7-10, 26-23, 10-7, 23-18, 7-11, 18-14, 11-15, 28-24, 15-11, 24-19, 11-7, 25-21, 7-2, 27-31, 2-6, 31-27, 6-2, 27-32, 2-7, 32-28, 7-3, 28-24, 3-7, 24-20, 7-11, 4-8, 11x4, 19-23, 4-8, 23-27, 8-3, 27-32, 3-7, 32-28, 7-3, 28-24, 3-7, 24-27, 7-3, 27-23, 3-7, 23-27, 7-3, 27-23, 3-7, 23-19, 7-3, 19-23, 3-7, 23-27, 7-3, 27-23, 3-7, 23-27, 7-3","-0.1000, -1.6328, 4.8268, -10.0000, 5.5500, -10.0000, -0.2236, 0.4601, -0.2646, -2.1157, 4.7000, -10.0000, 5.5175, -10.0000, -0.3317, 2.7072, -10.0000, 4.6394, -10.0000, -0.1483, -0.3873, -0.4500, -0.4123, -0.7485, -0.4359, -0.7944, -0.4583, -0.8381, -0.4796, -1.0298, -0.5000, -1.0698, -0.5196, -6.1083, 4.4615, -10.0000, -1.0954, -0.5568, -3.6314, 4.4255, -10.0000, 1.2838, 6.9084, -6.0000, 21.8917, -20.0000, -6.0329, 4.3755, -10.0000, -8.7649, 14.3597, -20.0000, -3.8961, 4.3443, -10.0000, 3.6234, -10.0000, -0.6708, -1.4065, -0.6856, -1.4356, -0.7000, 6.1358, -0.7141, 3.6078, -10.0000, 6.7720, -1.4197, -0.7416, -1.4467, -0.7550, -1.4732, -0.7681, -1.4992, -0.7810, -1.2748, -0.7937, -1.5500, -0.8062, -1.5748, -0.8185, -1.5992, 6.6693, -1.6233, -0.8426, -1.6471, -0.8544, -1.6705, -0.8660, -1.6936, -0.8775, -1.7164, -0.8888, -1.7389, -0.9000, 5.7389, -10.0000, -0.9110, -1.7830, -0.9220, -1.8047, -0.9327, -1.8262, -0.9434, -1.8474, -0.9539, -1.8683, -0.9644, -1.8891, -0.9747, -1.9096, -0.9849, -1.9299, -0.9950, -1.9500, -1.0050, -1.9699, -1.0149, -1.9896, -1.0247, -2.0091, -1.0344, -2.0285, -1.0440, -221.0476"
10,RED,League-terminal (epoch 72),0,1,-71.6786,-210.4076,138.7290,2026-02-23 01:26:13,"10-15, 24-19, 15x24, 28x19, 11-16, 27-24, 6-10, 24-20, 9-14, 20x11, 7x16, 32-28, 3-7, 28-24, 10-15, 19x10x3, 16-19, 24x15, 1-6, 22-18, 6-9, 25-22, 9-13, 18x9, 5x14, 15-10, 8-11, 3-8, 11-15, 8-11, 4-8, 11x18x9, 2-6, 9x2, 8-11, 10-7, 11-15, 7-3, 15-19, 23x16, 12x19, 22-18, 19-23, 26x19, 13-17, 21x14","-0.1000, -1.7828, 4.8268, -10.0000, 5.5500, -10.0000, -0.2236, 0.4601, -0.2646, 0.3843, -0.3000, 0.3175, -10.0000, 4.6683, -10.0000, -0.0428, -0.3606, -0.0983, -0.3873, 22.4500, -20.0000, -0.4123, 7.6515, -10.0000, -0.4359, 0.3556, -0.4583, 0.3119, -0.4796, 2.5202, -10.0000, 4.5000, -10.0000, -0.3198, -0.5196, -0.3583, -0.5385, 2.1046, -0.5568, 14.4686, -20.0000, -0.5745, 6.9338, -10.0000, -0.5916, -0.5000, -0.6083, 7.0671, -0.6245, 2.0351, -10.0000, 4.3597, -10.0000, -0.2961, -0.6557, 4.7734, -10.0000, -0.6708, 104.7435, -10.0000, -100.0000"
