epoch,average_epoch_reward,average_blue_reward,average_red_reward,average_episode_length,win_rate_blue,win_rate_red,tie_rate,max_move_reward,epoch_time_s
1,3.8427711265563964,4.499361357116699,-0.6565902305603027,37.2878,0.4716,0.4402,0.0882,27.8,78.22
2,4.63198034286499,6.657057251739502,-2.0250769088745115,37.4946,0.4814,0.4356,0.083,27.8,79.41
3,4.740446495819092,7.7438500694274905,-3.0034035736083986,37.0088,0.4862,0.4324,0.0814,27.8,83.84
4,4.122715173339844,5.995773520660401,-1.8730583473205566,38.0178,0.4784,0.4352,0.0864,27.8,75.6
5,3.657016284942627,7.279961325836181,-3.622945040893555,37.3656,0.484,0.4296,0.0864,27.8,79.63
6,4.276405276489258,8.248311835479736,-3.9719065589904785,37.4926,0.4878,0.4266,0.0856,27.8,96.09
7,1.7046784931182861,6.586418274688721,-4.881739781570435,37.9828,0.4812,0.4244,0.0944,27.8,97.88
8,3.1011146644592285,3.9693503746032714,-0.868235710144043,38.296,0.4706,0.4394,0.09,27.8,97.49
9,3.1212648357391357,8.254725816345214,-5.133460980606079,38.5838,0.4864,0.4256,0.088,27.8,98.45
10,4.3394126701354985,4.160440465545654,0.17897220458984375,37.9742,0.4698,0.4458,0.0844,27.8,113.69
11,0.9057551429748535,3.976342455291748,-3.0705873123168947,37.6582,0.4754,0.4314,0.0932,27.8,113.18
12,3.0495783981323243,7.604341242218018,-4.554762844085693,37.694,0.4878,0.427,0.0852,27.8,113.08
13,2.632520669555664,7.215772221374512,-4.583251551818847,37.682,0.4898,0.4214,0.0888,27.8,114.84
14,2.300123070526123,7.117570903778076,-4.817447833251953,38.3874,0.4868,0.4238,0.0894,27.8,116.15
15,4.257353143310547,5.829118491363525,-1.5717653480529785,37.6784,0.48,0.4336,0.0864,27.8,114.59
16,32.52720316009521,20.197580537414552,12.329622622680665,57.897,0.4862,0.4354,0.0784,27.8,173.99
17,31.486459439086914,17.475539122009277,14.010920317077638,57.9834,0.4744,0.4514,0.0742,27.8,174.25
18,30.927192150878906,20.34180239715576,10.585389753723145,57.607,0.491,0.4324,0.0766,27.8,172.81
19,30.929384188842775,20.194245168304445,10.73513902053833,57.4234,0.4864,0.434,0.0796,27.8,174.11
20,32.47161525726318,23.473077896881104,8.99853736038208,56.868,0.4978,0.4288,0.0734,27.8,172.66
21,31.30490548248291,21.848611715698244,9.456293766784668,58.7816,0.4996,0.4284,0.072,27.8,177.78
22,30.41881047439575,19.72658547592163,10.69222499847412,58.5558,0.4846,0.4368,0.0786,27.8,177.63
23,32.78562197265625,19.951484662628175,12.834137310028076,58.3942,0.484,0.4462,0.0698,27.8,176.99
24,30.834757777786255,20.049740699386597,10.785017078399658,58.8806,0.49,0.4366,0.0734,27.8,178.93
25,30.367329343032836,18.833952373504637,11.533376969528199,58.2216,0.4832,0.438,0.0788,27.8,177.55
26,28.99637711715698,17.57402742767334,11.422349689483642,58.8816,0.4724,0.4446,0.083,27.8,179.33
27,32.91792082443237,22.657811723327637,10.260109101104737,57.899,0.4974,0.4266,0.076,27.8,177.38
28,28.235158322906493,17.077151806640625,11.15800651626587,59.3076,0.4792,0.4344,0.0864,27.8,181.42
29,32.347183268356325,21.13585691947937,11.211326348876954,58.0418,0.4896,0.4362,0.0742,27.8,178.18
30,32.676527407836915,19.970786939239503,12.705740468597412,58.3254,0.4882,0.441,0.0708,27.8,178.18
31,30.648034757232665,20.518620418548583,10.129414338684082,58.2294,0.4866,0.4386,0.0748,27.8,178.57
32,31.52136088409424,20.428914101409912,11.092446782684327,57.8324,0.488,0.4376,0.0744,27.8,177.99
33,29.716203428268432,18.637463618469237,11.078739809799194,58.6356,0.4852,0.436,0.0788,27.8,180.92
34,30.993923915863036,20.772698146057127,10.221225769805908,57.655,0.493,0.432,0.075,27.8,177.6
35,29.598210678863527,19.400779836273195,10.197430842590332,58.5038,0.4858,0.4366,0.0776,27.8,180.08
36,31.6979530418396,23.982789543151856,7.715163498687744,57.366,0.4986,0.4258,0.0756,27.8,176.99
37,29.697578062438964,17.563875495147705,12.13370256729126,59.0436,0.4782,0.4442,0.0776,27.8,180.21
38,29.81011343231201,18.6640921875,11.146021244812012,59.0866,0.4856,0.4366,0.0778,27.8,181.77
39,29.00554359664917,21.268838613891603,7.736704982757568,60.0254,0.4916,0.4274,0.081,27.8,183.75
40,29.5408018699646,20.186540000915528,9.354261869049072,59.0316,0.49,0.4306,0.0794,27.8,180.64
41,26.09903187561035,17.893319330596924,8.205712545013428,60.4344,0.4828,0.4312,0.086,27.8,184.98
42,29.794256292724608,19.226115840911866,10.568140451812743,59.5284,0.4806,0.4366,0.0828,27.8,182.84
43,25.820417100524903,20.102601122283936,5.717815978240967,59.6998,0.49,0.4268,0.0832,27.8,182.92
44,28.84514570236206,19.025351751708985,9.819793950653077,60.149,0.486,0.4304,0.0836,27.8,183.94
45,28.711661071777343,20.66398561706543,8.047675454711914,60.7204,0.4884,0.4272,0.0844,27.8,186.06
46,29.311245864105224,18.79577477645874,10.515471087646484,59.8698,0.4812,0.4356,0.0832,27.8,183.94
47,29.478667771148682,20.075729863739014,9.402937907409669,60.4598,0.4894,0.4322,0.0784,27.8,186.15
48,27.777381238555908,20.022001066589354,7.755380171966553,61.037,0.4894,0.4234,0.0872,27.8,187.18
49,28.230701105499268,20.901129376983643,7.329571728515625,61.1704,0.4938,0.4214,0.0848,27.8,187.04
50,25.179074867248534,18.44968625869751,6.729388608551026,61.1174,0.4808,0.4272,0.092,27.8,188.38
51,26.100072485351564,18.184362592315672,7.9157098930358885,61.3344,0.481,0.4312,0.0878,27.8,187.42
52,27.356270261383056,20.791212245178222,6.565058016204834,61.3226,0.4888,0.422,0.0892,27.8,188.47
53,25.555895947265626,18.454473905944823,7.1014220413208005,62.9754,0.4848,0.4258,0.0894,27.8,193.26
54,25.07584100418091,18.06624446182251,7.009596542358398,63.2224,0.4798,0.4226,0.0976,27.8,193.9
55,26.676757206726073,19.909358793640138,6.767398413085938,62.6392,0.4864,0.4226,0.091,27.8,192.31
56,27.770382012939454,21.63244416732788,6.137937845611572,62.491,0.489,0.4218,0.0892,27.8,191.39
57,28.066648873138426,23.699083000946047,4.367565872192383,61.8248,0.5044,0.418,0.0776,27.8,191.86
58,27.91776782989502,15.46095758972168,12.45681024017334,62.2018,0.4664,0.4442,0.0894,27.8,190.4
59,29.72162220039368,23.31767978591919,6.403942414474487,62.3916,0.4972,0.4196,0.0832,27.8,190.73
60,26.41523032684326,21.43469944458008,4.980530882263183,62.3702,0.4944,0.4164,0.0892,27.8,191.02
61,26.701165647888185,19.290069297790527,7.411096350097656,63.0954,0.485,0.423,0.092,27.8,191.49
62,23.71158610191345,19.296391510391235,4.415194591522217,65.0528,0.4894,0.4158,0.0948,27.8,197.26
63,26.713564115142823,18.389852675628664,8.32371143951416,63.4338,0.4852,0.4246,0.0902,27.8,192.4
64,26.601697052001953,19.69831865158081,6.9033784004211425,64.844,0.4844,0.4214,0.0942,27.8,197.45
65,23.14274297180176,16.689388835906982,6.4533541358947755,66.2558,0.4756,0.4218,0.1026,27.8,200.97
66,65.24972921905517,30.21599017944336,35.03373903961182,77.856,0.4656,0.4764,0.058,27.47084973778708,242.72
67,66.62397736587525,31.619754393005373,35.004222972869876,76.4994,0.467,0.4782,0.0548,27.47084973778708,237.41
68,69.20489545516968,30.182147283172608,39.02274817199707,76.9892,0.4608,0.4878,0.0514,27.47084973778708,239.98
69,72.10128545455933,32.15955848464966,39.941726969909666,77.137,0.4632,0.4904,0.0464,27.47084973778708,239.88
70,70.0345713760376,30.82759273376465,39.20697864227295,76.7168,0.4614,0.4876,0.051,27.47084973778708,240.55
71,70.63823562698364,31.155859799194335,39.482375827789305,77.282,0.465,0.4896,0.0454,27.47084973778708,240.77
72,71.10241456832885,29.65782224960327,41.44459231872558,77.9738,0.4588,0.4926,0.0486,27.47084973778708,243.13
73,72.40848370208741,39.04405590820313,33.364427793884275,79.053,0.49,0.464,0.046,27.47084973778708,245.68
74,72.40287773742676,35.937138553619384,36.46573918380737,79.1372,0.4814,0.4748,0.0438,27.47084973778708,246.7
75,76.75887345046998,35.927130258178714,40.83174319229126,79.2858,0.4712,0.4874,0.0414,27.47084973778708,246.15
76,79.76139252090454,35.09068900680542,44.670703514099124,79.4656,0.463,0.4928,0.0442,27.47084973778708,250.37
77,80.16170081481934,35.534828125,44.626872689819336,81.3326,0.4662,0.4928,0.041,27.47084973778708,251.74
78,81.76712050018311,36.182339854431156,45.584780645751955,80.3416,0.465,0.4946,0.0404,27.47084973778708,248.72
79,87.27952721099854,40.978707414245605,46.30081979675293,79.4104,0.475,0.4878,0.0372,27.47084973778708,246.64
80,83.10141643829346,35.588322548675535,47.51309388961792,78.537,0.4648,0.5004,0.0348,27.47084973778708,244.32
81,77.62566932220459,35.64661928253174,41.97905003967285,80.2802,0.4748,0.4882,0.037,27.47084973778708,250.37
82,80.45369014701843,36.425716258621215,44.02797388839722,79.7264,0.473,0.4936,0.0334,27.47084973778708,247.98
83,85.87532968292237,39.064875575256345,46.81045410766602,79.1232,0.4772,0.4972,0.0256,27.47084973778708,246.95
84,84.08471493911743,39.02784436340332,45.056870575714115,81.11,0.4772,0.4884,0.0344,27.47084973778708,250.52
85,85.9755262588501,36.8339678565979,49.141558402252194,80.6264,0.466,0.5008,0.0332,27.47084973778708,250.58
86,88.0345638015747,44.119538312530516,43.91502548904419,80.4874,0.484,0.479,0.037,27.47084973778708,249.91
87,90.36154099502563,40.867783197784426,49.49375779724121,78.9222,0.4744,0.498,0.0276,27.47084973778708,246.2
88,90.31556524887085,41.68800170288086,48.62756354598999,79.5244,0.474,0.4966,0.0294,27.434314575050763,248.48
89,93.941451197052,39.39373363418579,54.54771756286621,78.53,0.4614,0.511,0.0276,27.47084973778708,244.9
90,89.89968501930237,42.47165420761108,47.428030811691286,80.2306,0.4812,0.4908,0.028,27.47084973778708,251.31
91,88.13614980239868,40.00924143066406,48.12690837173462,80.1278,0.4724,0.4984,0.0292,27.47084973778708,248.23
92,92.1465971130371,41.63440674972534,50.51219036331177,78.2298,0.4764,0.4986,0.025,27.47084973778708,244.52
93,94.00771400375366,43.12642750015259,50.881286503601075,80.8268,0.4738,0.4972,0.029,27.47084973778708,250.14
94,96.60032389297486,37.226882985687254,59.373440907287595,78.1044,0.4564,0.5214,0.0222,27.434314575050763,242.17
95,95.33980677108765,40.07850073013306,55.26130604095459,79.9252,0.4666,0.5082,0.0252,27.47084973778708,247.22
96,100.10442860336303,43.03282478485107,57.07160381851196,73.2516,0.4696,0.5078,0.0226,27.434314575050763,229.67
