epoch,average_epoch_reward,average_blue_reward,average_red_reward,average_episode_length,win_rate_blue,win_rate_red,tie_rate,max_move_reward,epoch_time_s
1,4.696561463165283,8.805634806823731,-4.109073343658447,36.991,0.4906,0.4292,0.0802,27.8,88.14
2,3.3746650283813477,4.101108922576905,-0.7264438941955567,37.6888,0.4738,0.4474,0.0788,27.8,89.18
3,2.8568469356536865,2.211365102767944,0.6454818328857422,37.6146,0.465,0.4502,0.0848,27.8,92.65
4,3.03150238571167,7.219221601104737,-4.1877192153930665,37.5398,0.4876,0.428,0.0844,27.8,89.97
5,3.107767611694336,5.894173490905762,-2.7864058792114257,37.3954,0.48,0.4356,0.0844,27.8,90.72
6,2.8429540336608885,5.760501145172119,-2.9175471115112304,37.3154,0.4808,0.4336,0.0856,27.8,90.22
7,3.0227310218811034,3.5591505416870115,-0.5364195198059082,37.5058,0.4726,0.4452,0.0822,27.8,90.72
8,2.0045094108581543,4.9506321716308594,-2.946122760772705,37.555,0.4786,0.4368,0.0846,27.8,91.64
9,3.8621676834106444,5.655222707366943,-1.7930550239562988,36.9034,0.4778,0.442,0.0802,27.8,90.12
10,0.842015113067627,5.001449964904785,-4.159434851837158,37.5252,0.4826,0.4346,0.0828,27.8,113.89
11,1.8395057624816895,0.005941109466552735,1.8335646530151368,37.3098,0.4598,0.457,0.0832,27.8,113.06
12,3.8576898193359375,8.245702532196045,-4.388012712860108,37.1958,0.4962,0.4264,0.0774,27.8,111.74
13,1.968965885925293,5.530223915100097,-3.561258029174805,36.5666,0.481,0.4372,0.0818,27.8,111.33
14,3.456069763183594,8.162896731567383,-4.706826968383789,36.808,0.4952,0.4252,0.0796,27.8,112.23
15,0.6660519554138183,3.7738582374572753,-3.107806282043457,37.5878,0.4746,0.4354,0.09,27.8,115.99
16,30.61458469161987,20.28370742034912,10.330877271270753,57.2644,0.4898,0.4376,0.0726,27.8,174.44
17,29.882539505004882,18.112187899017336,11.77035160598755,58.496,0.4826,0.4404,0.077,27.8,175.97
18,31.639033410644533,20.240454720306396,11.398578690338136,58.7318,0.4868,0.4346,0.0786,27.8,176.43
19,30.413054279327394,18.18657056274414,12.226483716583251,57.6328,0.4852,0.4396,0.0752,27.8,174.36
20,28.7970853805542,21.510201611328124,7.286883769226074,58.6382,0.4986,0.4276,0.0738,27.8,177.72
21,30.49117762527466,21.25915161437988,9.232026010894776,58.1622,0.4928,0.4284,0.0788,27.8,175.19
22,30.899714989471434,22.293750172424318,8.60596481704712,57.6682,0.4988,0.4284,0.0728,27.8,174.75
23,28.85422010269165,21.47508800125122,7.37913210144043,58.0236,0.498,0.4284,0.0736,27.8,176.17
24,31.387112047958375,20.7764541267395,10.610657921218872,58.1806,0.4898,0.4388,0.0714,27.8,176.04
25,30.123586614227296,21.548245322418214,8.575341291809082,57.8952,0.4978,0.4326,0.0696,27.8,178.94
26,32.11632755203247,18.563460487365724,13.552867064666748,58.04,0.486,0.445,0.069,27.8,156.44
27,32.106790466308595,19.897613833618163,12.20917663269043,57.7166,0.4848,0.4406,0.0746,27.8,155.69
28,31.30597062988281,21.239943520355226,10.066027109527587,58.2224,0.4948,0.4358,0.0694,27.8,158.75
29,29.984274784851074,20.364133924102784,9.620140860748291,58.0292,0.4892,0.4356,0.0752,27.8,158.47
30,29.565360528564455,16.64250369873047,12.922856829833984,58.6688,0.4758,0.4486,0.0756,27.8,160.99
31,29.364465085601807,19.43037308731079,9.934091998291015,58.3322,0.4874,0.4374,0.0752,27.8,160.62
32,28.528906548309326,20.420643129730223,8.108263418579101,58.2156,0.4954,0.4292,0.0754,27.8,161.08
33,30.239246855926513,23.600123978424072,6.639122877502442,58.333,0.5036,0.4212,0.0752,27.8,161.06
34,28.5293034910202,19.013694218063353,9.515609272956848,58.8354,0.4864,0.4358,0.0778,27.8,162.78
35,30.91389119300842,21.898039198303223,9.0158519947052,58.2566,0.496,0.4292,0.0748,27.8,161.97
36,29.331870778656008,17.38716782989502,11.944702948760986,59.1182,0.4842,0.4388,0.077,27.8,164.53
37,31.00871782608032,21.614938264465334,9.39377956161499,58.5442,0.498,0.4326,0.0694,27.8,163.54
38,28.633847146606445,16.880843509674072,11.753003636932373,59.078,0.4782,0.4418,0.08,27.8,165.42
39,29.09417622871399,17.108909222793578,11.98526700592041,59.3724,0.4792,0.4392,0.0816,27.8,166.56
40,25.833300536346435,15.273627853393554,10.55967268295288,60.2328,0.4752,0.4444,0.0804,27.8,169.47
41,27.97841033630371,19.55248593978882,8.425924396514892,59.5776,0.4912,0.4308,0.078,27.8,168.28
42,27.550580470657348,18.379967616271973,9.170612854385375,59.7768,0.4812,0.4356,0.0832,27.8,169.01
43,29.875424088287353,14.416037979888916,15.459386108398437,59.6876,0.467,0.4564,0.0766,27.8,169.26
44,28.609193812561035,19.315091400146486,9.294102412414551,59.3438,0.4872,0.438,0.0748,27.8,169.18
45,26.697258974456787,18.34014747085571,8.357111503601073,60.1318,0.4854,0.4396,0.075,27.8,172.18
46,29.91420308456421,19.21958050842285,10.694622576141358,59.9686,0.489,0.4414,0.0696,27.8,170.68
47,28.188583053970337,17.667552160644533,10.521030893325806,60.6528,0.483,0.4342,0.0828,27.8,172.77
48,29.140890032196044,21.28550901184082,7.855381020355225,60.0852,0.4992,0.425,0.0758,27.8,171.0
49,29.143730474090574,20.26307294540405,8.880657528686523,60.5216,0.489,0.4336,0.0774,27.8,172.91
50,26.32749602508545,18.389368296051025,7.938127729034424,61.096,0.486,0.4326,0.0814,27.8,173.16
51,26.456609191894533,18.540645555114747,7.915963636779785,61.1812,0.4888,0.429,0.0822,27.8,175.16
52,26.596355255889893,15.32025810546875,11.276097150421142,60.205,0.4718,0.4488,0.0794,27.8,172.17
53,27.322116286468507,19.533105143737792,7.789011142730713,61.2024,0.489,0.43,0.081,27.8,175.2
54,22.58487092437744,18.53101457672119,4.05385634765625,62.3052,0.4868,0.4152,0.098,27.8,177.69
55,23.608228886413574,22.846193934631348,0.7620349517822266,61.9246,0.5006,0.4068,0.0926,27.8,177.03
56,24.516116679382325,17.179070574951172,7.337046104431153,62.884,0.4852,0.4254,0.0894,27.8,179.73
57,29.810529414367675,17.86570084991455,11.944828564453125,62.9302,0.4794,0.4398,0.0808,27.8,180.23
58,25.796536373138427,16.900665003204345,8.895871369934081,63.6862,0.4778,0.432,0.0902,27.8,182.64
59,26.01032641220093,17.427661531829834,8.582664880371095,63.7252,0.4798,0.4338,0.0864,27.8,182.61
60,25.062465567016602,18.10659356689453,6.955872000122071,64.545,0.4878,0.4298,0.0824,27.8,183.77
61,22.854788876724243,16.0433866733551,6.81140220336914,65.3996,0.481,0.425,0.094,27.8,185.94
62,23.97443710861206,17.213755850982665,6.760681257629394,64.638,0.483,0.4254,0.0916,27.8,184.03
63,25.681944495010377,20.366472814559938,5.31547168045044,64.6856,0.4922,0.4236,0.0842,27.8,183.72
64,22.422509203338624,18.166474645233155,4.256034558105469,66.3528,0.4836,0.4176,0.0988,27.8,189.45
65,26.860855716705323,16.468710500335693,10.392145216369629,65.895,0.4754,0.4358,0.0888,27.8,188.53
66,61.87724292526245,25.69205374984741,36.18518917541504,76.7852,0.4566,0.4914,0.052,27.47084973778708,223.6
67,66.15714081802368,31.24844160385132,34.908699214172366,77.1682,0.4662,0.487,0.0468,27.47084973778708,225.79
68,66.31400752105714,29.239715632629395,37.07429188842774,78.9778,0.4618,0.4846,0.0536,27.47084973778708,230.33
69,67.45469734268188,33.290757683563236,34.163939659118654,79.8478,0.4706,0.4752,0.0542,27.47084973778708,232.2
70,65.89614489974976,29.64239635925293,36.25374854049683,80.2064,0.4624,0.4856,0.052,27.47084973778708,233.71
71,63.487788542175295,28.148428898620605,35.33935964355469,81.614,0.462,0.481,0.057,27.47084973778708,238.07
72,66.63338975524903,27.752394416809082,38.880995338439945,81.3338,0.4564,0.4892,0.0544,27.47084973778708,237.5
73,66.58111903533936,28.162870946502686,38.41824808883667,81.8004,0.4554,0.49,0.0546,27.47084973778708,239.22
74,70.88145698242188,33.287958623504636,37.59349835891724,82.2758,0.472,0.4822,0.0458,27.47084973778708,241.2
75,72.98703193588257,33.58196633682251,39.40506559906006,84.152,0.4696,0.4848,0.0456,27.47084973778708,244.25
76,72.72274238357544,32.24674087066651,40.47600151290894,83.9636,0.4614,0.4882,0.0504,27.47084973778708,243.83
77,73.94330935211181,34.59490075531006,39.34840859680176,84.2328,0.468,0.4862,0.0458,27.47084973778708,244.91
78,72.41480433654785,31.173246340179443,41.24155799636841,85.6768,0.459,0.4916,0.0494,27.47084973778708,247.02
79,80.48346466903686,43.42499603500366,37.058468634033204,85.2282,0.4892,0.4638,0.047,27.47084973778708,248.25
80,75.36909651641845,39.38658266525268,35.98251385116577,85.2836,0.486,0.4734,0.0406,27.47084973778708,247.47
81,72.66203649978638,35.37234530639648,37.28969119338989,87.3616,0.472,0.489,0.039,27.47084973778708,254.21
82,74.6874075416565,35.41415184936523,39.27325569229126,87.1974,0.4722,0.4862,0.0416,27.47084973778708,253.06
83,78.94738860549927,35.24020467071533,43.707183934783934,86.9684,0.4688,0.4944,0.0368,27.47084973778708,250.88
84,73.08355161514282,32.379483164978026,40.7040684501648,90.7698,0.4608,0.4898,0.0494,27.47084973778708,260.44
85,77.9368253479004,37.586371244812014,40.35045410308838,89.8536,0.4714,0.483,0.0456,27.47084973778708,259.32
86,84.41337189788818,37.61592871246338,46.797443185424804,88.7084,0.4632,0.495,0.0418,27.47084973778708,254.41
87,85.04188441696166,41.73566746673584,43.30621695022583,89.2628,0.4772,0.4786,0.0442,27.47084973778708,256.81
88,82.77747277603149,40.71958897781372,42.05788379821777,89.756,0.4742,0.4802,0.0456,27.47084973778708,258.26
89,86.98157889251709,43.358119673156736,43.62345921936035,88.8218,0.4728,0.4874,0.0398,27.47084973778708,256.0
90,80.37854629364014,34.42652955322266,45.95201674041748,90.013,0.4566,0.4984,0.045,27.47084973778708,258.95
91,80.40486708602906,40.6952046951294,39.70966239089966,89.1276,0.4752,0.4766,0.0482,27.47084973778708,256.95
92,76.6151809310913,38.9368545501709,37.67832638092041,91.0928,0.4762,0.472,0.0518,27.47084973778708,261.13
93,83.22624822311401,36.97130319595337,46.254945027160645,88.3036,0.461,0.4934,0.0456,27.47084973778708,254.87
94,88.87519700775147,45.010015732574466,43.865181275177,86.5818,0.484,0.4734,0.0426,27.47084973778708,250.39
95,89.81345620269775,42.238582569122315,47.57487363357544,86.3364,0.4788,0.486,0.0352,27.47084973778708,248.54
96,92.54607765274048,41.624303476715085,50.92177417602539,85.8728,0.4666,0.4982,0.0352,27.47084973778708,247.59
97,90.62025246810913,43.900788200378415,46.719464267730714,86.8576,0.479,0.4834,0.0376,27.47084973778708,251.67
98,93.28736782302856,40.71071512680054,52.576652696228024,85.3118,0.461,0.5014,0.0376,27.47084973778708,247.07
