epoch,average_epoch_reward,average_blue_reward,average_red_reward,average_episode_length,win_rate_blue,win_rate_red,tie_rate,max_move_reward,epoch_time_s
1,-5.440165717315674,1.880864584350586,-7.3210303016662595,37.307,0.4836,0.431,0.0854,12.4,85.92
2,-6.067558056640625,1.5905451354980469,-7.658103192138672,37.4468,0.4816,0.4312,0.0872,12.4,76.8
3,-4.7805103523254395,-0.4666386413574219,-4.313871710968018,37.5166,0.4734,0.4456,0.081,12.4,85.03
4,-5.857290737915039,2.6987020179748535,-8.555992755889893,37.2726,0.4882,0.427,0.0848,12.4,77.37
5,-4.600799324035645,-1.5672645782470702,-3.0335347457885744,37.4318,0.4688,0.4496,0.0816,12.4,78.44
6,-6.164223992919922,1.8770204826354981,-8.04124447555542,37.75,0.4844,0.4296,0.086,12.4,98.66
7,-5.417901911926269,0.8631827957153321,-6.281084707641601,37.62,0.4796,0.4378,0.0826,12.4,96.0
8,-5.9345904663085935,-0.7470799911499023,-5.187510475158692,37.6948,0.4714,0.4426,0.086,12.4,95.7
9,-5.679798225402832,1.2620071655273437,-6.941805390930176,37.8472,0.4816,0.4336,0.0848,12.4,96.55
10,-6.202183296203613,3.130115184020996,-9.33229848022461,38.1964,0.4902,0.4242,0.0856,12.4,97.65
11,-6.67911185913086,1.4103359481811524,-8.08944780731201,38.3184,0.4808,0.4238,0.0954,12.4,113.84
12,-4.366224284362793,0.022160020446777343,-4.38838430480957,37.4288,0.4742,0.4432,0.0826,12.4,112.76
13,-5.444482907104492,3.9291185348510744,-9.373601441955566,36.8012,0.4946,0.4178,0.0876,12.4,111.42
14,-4.69018770904541,0.9206910522460937,-5.610878761291504,36.8134,0.481,0.4356,0.0834,12.4,111.06
15,-5.064622561645508,0.3151908187866211,-5.379813380432129,37.915,0.4774,0.4358,0.0868,12.4,115.0
16,7.626778276062011,13.021966726684571,-5.395188450622559,58.2272,0.504,0.4164,0.0796,12.4,174.49
17,7.086429431152344,8.177752510070802,-1.091323078918457,58.4308,0.4844,0.4316,0.084,12.4,174.61
18,8.316374715423583,9.843992502593995,-1.5276177871704102,57.8232,0.4946,0.4266,0.0788,12.4,173.72
19,10.7536205619812,8.604905791473389,2.1487147705078127,58.6252,0.485,0.439,0.076,12.4,176.27
20,12.245641020202637,10.105335642242432,2.140305377960205,57.801,0.489,0.4422,0.0688,12.4,174.5
21,8.176355086517335,9.077296755218505,-0.9009416687011719,58.263,0.4892,0.4346,0.0762,12.4,175.68
22,6.181369093322754,7.465565657043457,-1.2841965637207031,58.5132,0.482,0.4302,0.0878,12.4,178.86
23,8.76057232055664,7.785375917816162,0.9751964027404785,57.9122,0.479,0.4428,0.0782,12.4,176.23
24,8.161463751983643,9.471000331878662,-1.3095365798950196,58.598,0.4898,0.432,0.0782,12.4,177.11
25,9.664148709106446,11.001582543182373,-1.3374338340759278,57.862,0.4998,0.4292,0.071,12.4,177.25
26,7.611533969116211,5.159737699127198,2.4517962699890137,58.0888,0.4702,0.4514,0.0784,12.4,177.86
27,7.87767165222168,10.347843425750732,-2.470171773529053,59.1574,0.4892,0.4278,0.083,12.4,180.77
28,8.250399341583252,8.306098988342285,-0.0556996467590332,58.4178,0.486,0.438,0.076,12.4,179.01
29,8.973436688995362,12.439168534851074,-3.465731845855713,58.3226,0.5022,0.4216,0.0762,12.4,179.0
30,8.529786624908446,8.833712519073487,-0.30392589416503907,57.8938,0.4854,0.4356,0.079,12.4,177.79
31,8.411986488342285,9.300472277069092,-0.8884857887268066,59.4484,0.4908,0.4334,0.0758,12.4,180.76
32,6.781133327484131,11.273006805419922,-4.491873477935791,59.523,0.5032,0.4186,0.0782,12.4,182.07
33,9.006108221435547,8.263584405517578,0.7425238159179688,59.4724,0.4872,0.4408,0.072,12.4,182.09
34,7.450752063751221,9.386130936431885,-1.935378872680664,59.8736,0.4948,0.4294,0.0758,12.4,182.61
