epoch,average_epoch_reward,average_blue_reward,average_red_reward,average_episode_length,win_rate_blue,win_rate_red,tie_rate,max_move_reward,epoch_time_s
1,-8.250147402954102,-3.061450102233887,-5.188697300720214,37.2306,0.4656,0.4464,0.088,12.4,88.22
2,-8.928803638458252,-1.9604423126220702,-6.968361325836182,37.8564,0.4704,0.4376,0.092,12.4,89.95
3,-7.88526976852417,-1.7778607772827149,-6.107408991241455,37.2624,0.4704,0.4412,0.0884,12.4,89.31
4,-8.20592618560791,-1.5133518356323241,-6.692574349975586,38.2144,0.4724,0.4406,0.087,12.4,91.36
5,-7.198492446899414,0.8496392532348633,-8.048131700134277,37.7466,0.483,0.4332,0.0838,12.4,90.37
6,-6.456385945129394,1.8773408798217774,-8.333726824951173,37.167,0.4884,0.4316,0.08,12.4,89.96
7,-8.181853237915039,3.1600875885009767,-11.341940826416016,37.5362,0.4934,0.4184,0.0882,12.4,91.07
8,-7.910928146362305,1.1767686401367188,-9.087696786499023,37.0934,0.484,0.4298,0.0862,12.4,90.03
9,-7.658029843139649,-1.0453961395263671,-6.612633703613281,37.8518,0.4752,0.439,0.0858,12.4,91.82
10,-5.638534647369385,-0.23807928848266602,-5.400455358886719,37.0696,0.4754,0.4462,0.0784,12.4,90.95
11,-9.516640007019044,-0.6611895988464356,-8.855450408172608,37.456,0.482,0.4266,0.0914,12.4,112.12
12,-8.603194542694093,1.1294533409118652,-9.732647883605956,37.2042,0.489,0.4258,0.0852,12.4,111.5
13,-6.930292049407959,-0.36785647735595706,-6.562435572052002,38.0644,0.479,0.4394,0.0816,12.4,115.16
14,-6.899783335876465,0.0627028823852539,-6.962486218261719,37.7162,0.4804,0.4332,0.0864,12.4,114.61
15,-5.659894250488281,1.3186711868286132,-6.978565437316894,37.6294,0.487,0.436,0.077,12.4,115.97
16,8.442318143463135,6.243152914428711,2.1991652290344237,57.5778,0.4804,0.4456,0.074,12.4,173.68
17,7.663531739807129,6.432805610656739,1.2307261291503906,58.2342,0.479,0.4446,0.0764,12.4,175.13
18,8.41309977798462,9.184332779693603,-0.7712330017089843,58.075,0.4874,0.4394,0.0732,12.4,174.32
19,6.581274376678467,8.885098917388916,-2.3038245407104494,58.0496,0.4894,0.424,0.0866,12.4,175.45
20,8.031507218933106,6.934900894165039,1.0966063247680664,58.3308,0.4794,0.4438,0.0768,12.4,176.68
21,6.583484032440186,8.207490510559081,-1.6240064781188965,57.4162,0.487,0.4312,0.0818,12.4,173.17
22,8.030617134857177,5.934323327636719,2.096293807220459,58.026,0.4768,0.4512,0.072,12.4,175.9
23,6.37969108581543,7.925657402038574,-1.5459663162231445,58.9986,0.4936,0.4322,0.0742,12.4,179.3
24,6.185577690124512,6.508437810516358,-0.3228601203918457,58.515,0.478,0.443,0.079,12.4,176.32
25,7.454350242614746,6.003234316253662,1.451115926361084,58.2106,0.4784,0.4468,0.0748,12.4,177.85
26,6.478199657440186,8.923466258239745,-2.4452666007995605,58.6712,0.4882,0.426,0.0858,12.4,160.53
27,7.496153203582764,9.373090222167969,-1.876937018585205,58.469,0.487,0.4334,0.0796,12.4,158.18
28,8.2550106010437,9.5401223487854,-1.2851117477416991,58.303,0.49,0.433,0.077,12.4,158.49
29,10.86888224258423,10.22381895828247,0.6450632843017579,58.6768,0.4918,0.437,0.0712,12.4,159.62
30,6.629904084014893,11.323968337249756,-4.694064253234863,58.833,0.5008,0.417,0.0822,12.4,161.41
31,5.613266607666016,5.7416432762145995,-0.12837666854858398,60.0962,0.477,0.4434,0.0796,12.4,163.87
32,6.2234472549438475,7.188685278320312,-0.9652380233764648,59.634,0.4844,0.4354,0.0802,12.4,164.65
33,3.23630177230835,6.487877765655518,-3.251575993347168,59.7988,0.4832,0.4304,0.0864,12.4,164.76
34,4.924564584350586,3.5047240730285645,1.4198405113220214,59.9678,0.4662,0.4506,0.0832,12.4,165.41
35,6.93512724609375,9.134662924957276,-2.1995356788635254,59.792,0.4876,0.428,0.0844,12.4,166.1
36,5.9752415145874025,6.543662733459473,-0.5684212188720703,59.8658,0.4768,0.435,0.0882,12.4,166.16
37,6.351326526641846,7.884795389556885,-1.533468862915039,59.06,0.4862,0.4332,0.0806,12.4,164.82
38,6.914390453338623,8.710600981903076,-1.7962105285644532,59.968,0.4898,0.4302,0.08,12.4,166.28
39,7.559518592834473,6.262394910430908,1.2971236824035643,59.2862,0.4788,0.4418,0.0794,12.4,166.71
40,7.017031646728515,9.080020944976807,-2.062989298248291,59.6016,0.4864,0.4324,0.0812,12.4,167.3
41,9.275303840637207,10.073030976104736,-0.7977271354675293,58.7958,0.495,0.4342,0.0708,12.4,166.04
42,7.166027661132812,8.759938122558594,-1.5939104614257813,59.9652,0.4844,0.4356,0.08,12.4,169.38
