epoch,average_epoch_reward,average_blue_reward,average_red_reward,average_episode_length,win_rate_blue,win_rate_red,tie_rate,max_move_reward,epoch_time_s
1,-1.76,5.3476,-7.1076,52.831,0.528,0.4674,0.0046,0.0,52.91
2,-1.52,6.6768,-8.1968,53.9898,0.5358,0.461,0.0032,0.0,56.38
3,-1.6816,6.2452,-7.9268,52.4614,0.5334,0.4624,0.0042,0.0,55.98
4,-1.5208,5.5296,-7.0504,53.3028,0.5296,0.4666,0.0038,0.0,56.9
5,-2.0468,4.8754,-6.9222,52.9164,0.5272,0.4682,0.0046,0.0,57.72
6,-1.9984,4.07,-6.0684,55.0256,0.5222,0.4724,0.0054,0.0,62.94
7,-1.3488,5.9732,-7.322,53.8696,0.5314,0.4658,0.0028,0.0,62.46
8,-1.6376,5.9104,-7.548,53.2446,0.5318,0.4642,0.004,0.0,63.2
9,-1.8256,4.4496,-6.2752,53.7708,0.5252,0.4704,0.0044,0.0,65.66
10,-4.2932,2.7564,-7.0496,56.0282,0.524,0.4718,0.0042,0.0,112.37
11,-4.1574,4.9102,-9.0676,54.1986,0.5374,0.4582,0.0044,0.0,107.83
12,-4.4526,2.5698,-7.0224,53.837,0.524,0.4712,0.0048,0.0,107.07
13,-3.8804,3.6386,-7.519,54.616,0.5288,0.4658,0.0054,0.0,107.83
14,-3.7328,3.7146,-7.4474,54.4958,0.5274,0.4678,0.0048,0.0,107.95
15,-4.548,4.1588,-8.7068,54.1846,0.5354,0.46,0.0046,0.0,107.08
16,-4.5648,2.7876,-7.3524,54.5096,0.526,0.4702,0.0038,0.0,108.33
17,-3.2728,5.6004,-8.8732,53.9298,0.5376,0.4584,0.004,0.0,108.58
18,-3.8556,4.866,-8.7216,53.9286,0.537,0.4592,0.0038,0.0,108.26
19,-3.9816,0.227,-4.2086,54.802,0.5098,0.486,0.0042,0.0,106.45
20,-4.7406,2.9798,-7.7204,55.3208,0.5276,0.4666,0.0058,0.0,112.36
21,-8.9092,-7.8376,-1.0716,72.6798,0.4786,0.5198,0.0016,0.0,177.07
22,-10.1156,-6.7092,-3.4064,72.9044,0.4894,0.508,0.0026,0.0,179.21
23,-10.5568,-7.6068,-2.95,73.2304,0.4856,0.5114,0.003,0.0,182.88
24,-8.1336,-5.3166,-2.817,74.7302,0.4904,0.5058,0.0038,0.0,186.43
25,-8.4204,-5.3588,-3.0616,74.0256,0.4932,0.5032,0.0036,0.0,184.23
26,-7.1404,-2.9688,-4.1716,73.5044,0.5042,0.4934,0.0024,0.0,182.13
27,-8.0252,-3.6194,-4.4058,73.618,0.4988,0.4988,0.0024,0.0,181.56
28,-8.477,-6.1988,-2.2782,75.0772,0.4854,0.5108,0.0038,0.0,180.69
29,-7.0118,-6.0928,-0.919,74.3034,0.4814,0.5148,0.0038,0.0,177.15
30,-9.0796,-5.6836,-3.396,74.8472,0.4932,0.5048,0.002,0.0,178.42
31,-8.606,-5.6412,-2.9648,74.0768,0.4926,0.505,0.0024,0.0,174.59
32,-8.4088,-5.0538,-3.355,73.9828,0.4938,0.504,0.0022,0.0,174.85
33,-8.158,-4.698,-3.46,75.322,0.4924,0.505,0.0026,0.0,177.32
34,-5.5226,-3.4646,-2.058,74.857,0.4948,0.5012,0.004,0.0,176.97
35,-6.4468,-4.7626,-1.6842,75.958,0.4888,0.5076,0.0036,0.0,181.75
36,-7.5008,-5.2184,-2.2824,74.9404,0.4868,0.5096,0.0036,0.0,178.33
37,-6.2736,-6.9482,0.6746,75.9194,0.4756,0.5214,0.003,0.0,182.08
38,-5.3812,-5.6608,0.2796,76.1296,0.4764,0.5184,0.0052,0.0,181.77
39,-5.3664,-3.9632,-1.4032,75.473,0.4926,0.506,0.0014,0.0,180.91
40,-5.3204,-4.4686,-0.8518,75.7034,0.4852,0.5112,0.0036,0.0,183.58
41,-6.313,-2.2092,-4.1038,76.5464,0.5042,0.4926,0.0032,0.0,185.46
42,-6.1188,-4.4308,-1.688,76.8858,0.489,0.507,0.004,0.0,185.44
43,-4.5612,-3.764,-0.7972,77.8408,0.487,0.5092,0.0038,0.0,186.62
44,-5.5502,-2.8072,-2.743,77.4804,0.4952,0.5,0.0048,0.0,185.98
45,-5.844,-4.0798,-1.7642,78.7608,0.4898,0.5066,0.0036,0.0,188.05
46,-5.0552,-2.633,-2.4222,77.6244,0.4938,0.5032,0.003,0.0,189.35
47,-3.6906,-3.8774,0.1868,78.619,0.4882,0.5084,0.0034,0.0,193.0
48,-4.59,-4.4664,-0.1236,76.8906,0.4844,0.5104,0.0052,0.0,188.48
49,-2.0514,-2.7696,0.7182,78.4958,0.4886,0.507,0.0044,0.0,193.38
50,-3.7652,-2.8364,-0.9288,79.1668,0.4888,0.5084,0.0028,0.0,196.48
51,-4.0894,-4.6112,0.5218,79.4502,0.4852,0.5122,0.0026,0.0,198.07
52,-4.7076,-4.9734,0.2658,81.7756,0.4822,0.5144,0.0034,0.0,200.85
53,-4.1992,-4.8604,0.6612,81.888,0.4796,0.5142,0.0062,0.0,202.29
54,-1.826,-2.9084,1.0824,84.7354,0.4876,0.5062,0.0062,0.0,209.72
55,-2.8534,-1.086,-1.7674,84.9176,0.4972,0.4964,0.0064,0.0,214.22
56,-0.9038,-1.9816,1.0778,84.5266,0.4858,0.509,0.0052,0.0,211.82
57,-1.9318,-2.9556,1.0238,85.9856,0.4822,0.5104,0.0074,0.0,216.38
58,0.488,-1.799,2.287,85.4842,0.4872,0.5078,0.005,0.0,215.97
59,2.4604,-0.3422,2.8026,86.3856,0.49,0.5044,0.0056,0.0,219.77
60,1.5946,-2.7374,4.332,85.4194,0.4752,0.5168,0.008,0.0,216.43
61,0.904,-0.0974,1.0014,85.6314,0.492,0.5,0.008,0.0,220.17
62,1.2744,-1.1268,2.4012,89.666,0.4878,0.505,0.0072,0.0,229.02
63,1.3432,-2.7426,4.0858,88.8412,0.477,0.514,0.009,0.0,228.85
64,1.6936,-0.9734,2.667,89.9608,0.4856,0.5054,0.009,0.0,231.62
65,1.6102,1.287,0.3232,88.5656,0.498,0.492,0.01,0.0,231.91
66,5.2688,3.0792,2.1896,90.412,0.4958,0.4928,0.0114,0.0,236.76
67,6.1944,4.6186,1.5758,93.6592,0.5064,0.482,0.0116,0.0,244.94
68,7.7964,4.9014,2.895,93.9688,0.4954,0.4926,0.012,0.0,253.02
69,6.7838,1.3168,5.467,95.8522,0.4834,0.5014,0.0152,0.0,257.08
70,6.9766,2.6066,4.37,96.576,0.4844,0.4984,0.0172,0.0,257.99
71,4.4112,2.8306,1.5806,98.9386,0.492,0.492,0.016,0.0,263.38
72,4.2428,2.778,1.4648,102.0386,0.491,0.487,0.022,0.0,268.38
73,5.2142,1.0946,4.1196,103.9166,0.476,0.4984,0.0256,0.0,276.89
74,5.8428,2.1684,3.6744,100.8952,0.4862,0.4916,0.0222,0.0,267.61
75,7.3746,2.6194,4.7552,102.061,0.4836,0.4936,0.0228,0.0,274.13
76,7.6922,5.1898,2.5024,105.6112,0.4952,0.481,0.0238,0.0,280.35
77,10.0534,3.1282,6.9252,105.2332,0.4732,0.5012,0.0256,0.0,282.07
78,9.3396,3.6888,5.6508,105.0816,0.4794,0.4936,0.027,0.0,298.41
79,10.3904,6.0586,4.3318,107.4742,0.4854,0.4796,0.035,0.0,296.52
80,8.6908,4.6914,3.9994,107.9192,0.4824,0.482,0.0356,0.0,265.14
81,10.0908,1.967,8.1238,108.5412,0.4654,0.4994,0.0352,0.0,266.48
82,7.878,2.1662,5.7118,110.338,0.4744,0.4852,0.0404,0.0,269.21
83,8.5964,1.5032,7.0932,111.1558,0.4622,0.4948,0.043,0.0,273.36
84,5.7104,0.894,4.8164,113.3122,0.4628,0.485,0.0522,0.0,279.32
85,9.752,3.779,5.973,112.9334,0.473,0.482,0.045,0.0,279.79
86,9.1096,3.562,5.5476,114.1512,0.469,0.483,0.048,0.0,283.35
87,8.591,2.2736,6.3174,118.5228,0.4592,0.4816,0.0592,0.0,295.43
88,4.6848,1.1144,3.5704,118.5758,0.4548,0.4688,0.0764,0.0,297.44
89,8.2932,4.806,3.4872,117.0012,0.469,0.4636,0.0674,0.0,296.35
90,1.7482,-1.7564,3.5046,122.4756,0.436,0.47,0.094,0.0,309.31
91,2.3626,-1.0562,3.4188,122.9352,0.4382,0.4678,0.094,0.0,313.56
92,1.6526,0.0344,1.6182,122.1446,0.4448,0.4598,0.0954,0.0,313.24
93,0.3262,-0.5294,0.8556,123.4226,0.4436,0.4508,0.1056,0.0,317.75
94,1.8942,-0.3244,2.2186,123.002,0.4432,0.4542,0.1026,0.0,318.33
95,1.1412,0.5334,0.6078,122.0624,0.4482,0.4494,0.1024,0.0,315.4
96,2.5298,-1.7168,4.2466,119.7208,0.4304,0.4712,0.0984,0.0,309.13
97,2.1306,-0.2622,2.3928,119.938,0.4418,0.4584,0.0998,0.0,310.59
98,5.5236,0.607,4.9166,118.904,0.4422,0.466,0.0918,0.0,308.93
99,7.1832,1.0244,6.1588,115.6986,0.446,0.4756,0.0784,0.0,301.73
100,5.211,0.9686,4.2424,117.1538,0.4474,0.4692,0.0834,0.0,305.38
101,4.2592,-1.6086,5.8678,115.5446,0.4384,0.4802,0.0814,0.0,303.21
102,-21.6082,-12.6294,-8.9788,102.615,0.3872,0.4078,0.205,0.0,317.89
