epoch,average_epoch_reward,average_blue_reward,average_red_reward,average_episode_length,win_rate_blue,win_rate_red,tie_rate,max_move_reward,epoch_time_s
1,-15.2248,-1.2728,-13.952,36.938,0.496,0.4228,0.0812,0.0,87.5
2,-15.708,-2.2516,-13.4564,37.7048,0.4912,0.4254,0.0834,0.0,90.01
3,-15.744,-5.3936,-10.3504,36.7772,0.4764,0.4404,0.0832,0.0,87.52
4,-16.7988,-5.6642,-11.1346,37.9122,0.4744,0.4356,0.09,0.0,91.3
5,-16.3148,-5.5398,-10.775,37.5254,0.475,0.4392,0.0858,0.0,91.48
6,-16.79,-4.4406,-12.3494,37.6792,0.481,0.4302,0.0888,0.0,91.06
7,-15.7332,-3.8874,-11.8458,37.2946,0.4836,0.4316,0.0848,0.0,91.5
8,-15.8052,-4.635,-11.1702,37.4704,0.48,0.4362,0.0838,0.0,90.81
9,-15.1072,-1.7652,-13.342,37.4586,0.4942,0.4244,0.0814,0.0,91.21
10,-14.4278,-4.487,-9.9408,36.9224,0.4754,0.4392,0.0854,0.0,112.55
11,-17.1768,-3.266,-13.9108,37.3488,0.491,0.4166,0.0924,0.0,112.25
12,-13.2072,-4.5376,-8.6696,36.4592,0.4814,0.4466,0.072,0.0,111.09
13,-17.1714,-5.199,-11.9724,37.5918,0.4816,0.4308,0.0876,0.0,113.59
14,-16.3022,-1.9992,-14.303,37.8402,0.4952,0.4184,0.0864,0.0,114.66
15,-16.7458,-7.666,-9.0798,37.878,0.4662,0.4506,0.0832,0.0,117.79
16,-17.5782,-4.7318,-12.8464,57.78,0.4854,0.4396,0.075,0.0,175.98
17,-17.341,-5.8796,-11.4614,57.6928,0.479,0.4444,0.0766,0.0,173.6
18,-16.6174,-6.1838,-10.4336,58.0038,0.4738,0.4464,0.0798,0.0,174.97
19,-17.485,-3.4856,-13.9994,58.6348,0.4894,0.43,0.0806,0.0,175.86
20,-16.5668,-4.049,-12.5178,58.4668,0.485,0.438,0.077,0.0,177.93
21,-16.9042,-3.5754,-13.3288,58.3076,0.4876,0.435,0.0774,0.0,174.95
22,-19.1958,-6.446,-12.7498,58.0698,0.4788,0.4386,0.0826,0.0,175.33
23,-16.0996,-2.4986,-13.601,59.0518,0.4922,0.4258,0.082,0.0,177.59
24,-18.2312,-3.3638,-14.8674,59.3164,0.488,0.4306,0.0814,0.0,179.21
25,-17.101,-5.822,-11.279,58.8384,0.4792,0.4438,0.077,0.0,181.78
26,-18.7608,-5.1674,-13.5934,59.0992,0.4802,0.4362,0.0836,0.0,158.33
27,-18.0558,-3.523,-14.5328,58.0084,0.49,0.4294,0.0806,0.0,156.53
28,-18.1662,-3.951,-14.2152,58.5478,0.4842,0.4336,0.0822,0.0,159.3
29,-18.14,-3.7322,-14.4078,59.7256,0.4848,0.4286,0.0866,0.0,162.02
30,-19.786,-7.7164,-12.0696,59.4906,0.4688,0.4452,0.086,0.0,162.23
31,-17.7002,-4.462,-13.2382,58.1406,0.4852,0.4366,0.0782,0.0,159.07
32,-17.949,-4.2348,-13.7142,59.873,0.49,0.4324,0.0776,0.0,163.95
33,-19.802,-6.0816,-13.7204,59.3962,0.476,0.4378,0.0862,0.0,163.13
34,-16.3008,-1.8266,-14.4742,59.303,0.499,0.427,0.074,0.0,164.05
35,-19.7904,-4.6908,-15.0996,59.8886,0.4862,0.4268,0.087,0.0,165.21
36,-20.0398,-7.2858,-12.754,59.8374,0.4732,0.4396,0.0872,0.0,166.3
37,-21.8322,-6.5284,-15.3038,60.9248,0.476,0.429,0.095,0.0,169.65
38,-19.527,-3.7302,-15.7968,60.5808,0.4906,0.422,0.0874,0.0,168.84
39,-17.5784,-5.73,-11.8484,60.0582,0.4774,0.437,0.0856,0.0,167.97
40,-19.4032,-4.6496,-14.7536,60.7454,0.4836,0.4286,0.0878,0.0,170.8
41,-17.9192,-4.9566,-12.9626,60.2812,0.4816,0.439,0.0794,0.0,169.23
42,-19.388,-4.1406,-15.2474,60.3496,0.4854,0.4252,0.0894,0.0,170.3
43,-18.7704,-7.2838,-11.4866,60.8554,0.469,0.4418,0.0892,0.0,172.25
44,-20.5512,-6.0952,-14.456,61.1854,0.4794,0.4298,0.0908,0.0,172.71
45,-19.0948,-8.0508,-11.044,61.768,0.4662,0.4446,0.0892,0.0,174.06
46,-20.1758,-6.3102,-13.8656,60.4576,0.4784,0.4332,0.0884,0.0,172.01
47,-18.81,-5.2914,-13.5186,62.2058,0.4772,0.4268,0.096,0.0,175.9
48,-17.3494,-5.03,-12.3194,60.7818,0.4778,0.4376,0.0846,0.0,172.15
49,-19.1766,-4.1556,-15.021,61.0248,0.4872,0.4234,0.0894,0.0,173.35
50,-17.955,-4.6106,-13.3444,62.105,0.4782,0.4324,0.0894,0.0,176.51
51,-21.2852,-6.7382,-14.547,62.1914,0.4756,0.4288,0.0956,0.0,176.82
52,-20.8246,-5.1924,-15.6322,62.1172,0.4792,0.4222,0.0986,0.0,177.09
53,-18.375,-4.4862,-13.8888,62.49,0.48,0.4298,0.0902,0.0,178.98
54,-20.85,-4.9686,-15.8814,64.7248,0.4804,0.423,0.0966,0.0,185.13
55,-19.5644,-2.8236,-16.7408,63.9512,0.4876,0.4098,0.1026,0.0,182.76
56,-19.3144,-5.8438,-13.4706,65.754,0.4696,0.4286,0.1018,0.0,187.06
57,-21.766,-6.6384,-15.1276,65.9834,0.468,0.4214,0.1106,0.0,187.74
58,-20.3184,-7.655,-12.6634,65.263,0.4632,0.4342,0.1026,0.0,186.15
59,-20.847,-7.5176,-13.3294,66.2466,0.468,0.4246,0.1074,0.0,187.0
60,-20.557,-5.6952,-14.8618,66.8014,0.4684,0.4252,0.1064,0.0,189.63
61,-23.0758,-8.328,-14.7478,67.7536,0.4594,0.4274,0.1132,0.0,192.65
62,-20.7154,-4.1488,-16.5666,66.8874,0.4822,0.4128,0.105,0.0,191.22
63,-21.4564,-7.173,-14.2834,67.106,0.466,0.4278,0.1062,0.0,189.83
64,-20.3186,-6.7102,-13.6084,67.354,0.4684,0.4298,0.1018,0.0,191.2
65,-20.7188,-6.573,-14.1458,68.0268,0.4718,0.4218,0.1064,0.0,192.38
66,-5.8746,-6.2412,0.3666,76.545,0.4562,0.4914,0.0524,0.0,223.33
67,-8.0036,-5.6946,-2.309,77.7508,0.4608,0.479,0.0602,0.0,226.99
68,-5.233,-2.857,-2.376,78.3732,0.467,0.472,0.061,0.0,229.36
69,-4.2262,-4.7806,0.5544,79.984,0.4554,0.4868,0.0578,0.0,232.48
70,-6.9678,-7.1642,0.1964,80.8664,0.4444,0.4864,0.0692,0.0,239.67
71,-3.936,-6.9972,3.0612,79.5324,0.4456,0.4988,0.0556,0.0,233.3
72,-5.1028,-5.9874,0.8846,79.31,0.4526,0.4904,0.057,0.0,232.12
73,-2.7514,-5.8992,3.1478,78.876,0.4518,0.5002,0.048,0.0,232.51
74,-2.3394,-7.0664,4.727,79.854,0.4428,0.506,0.0512,0.0,234.01
75,1.129,-3.6208,4.7498,80.2778,0.4514,0.5032,0.0454,0.0,234.3
76,2.9602,-1.2844,4.2446,80.4456,0.4626,0.49,0.0474,0.0,236.33
77,4.6424,-0.1626,4.805,80.5916,0.462,0.4916,0.0464,0.0,234.6
